,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
alpha0,10.096759,0.221998,9.686295,10.595485,455.565993,747.530406,1.00268
beta0,0.765562,0.04286,0.680915,0.847148,1565.162235,1997.823832,1.002635
theta[0],0.000883,0.049825,-0.096779,0.098272,2346.219309,5501.163743,1.001977
theta[1],0.073105,0.066877,-0.061121,0.201338,1604.017022,3139.185321,1.002457
theta[2],-0.063594,0.074358,-0.207787,0.082274,1278.849616,2295.547898,1.003075
theta[3],0.015445,0.083167,-0.154763,0.166915,1118.584756,1818.762269,1.003251
theta[4],-0.099495,0.091871,-0.27508,0.076977,1085.861094,1722.621976,1.002636
theta[5],-0.076434,0.098143,-0.266251,0.11183,1090.85595,1786.204122,1.00247
theta[6],-0.039982,0.103661,-0.236746,0.162812,1095.518476,1808.626393,1.002502
theta[7],-0.045774,0.109985,-0.259321,0.163317,1108.445514,1812.234748,1.003217
theta[8],-0.015194,0.119299,-0.251341,0.209613,1129.524706,1813.729679,1.003319
theta[9],0.010706,0.139937,-0.26091,0.280885,1194.844424,1875.542837,1.003437
theta[10],-0.017754,0.152883,-0.320616,0.26986,1255.454307,1912.445324,1.003609
theta[11],0.018457,0.162838,-0.293848,0.337977,1320.300838,2273.947764,1.002687
delta_washare,0.082725,0.005135,0.072432,0.092529,5470.944744,8027.110591,1.000509
delta_olddep,0.02923,0.006484,0.016616,0.042126,4622.271645,6787.007737,1.000832
z_alpha_region[East Asia & Pacific],-0.087645,0.429958,-0.943555,0.752883,554.290579,997.094046,1.001797
z_alpha_region[Europe & Central Asia],0.554085,0.46652,-0.340727,1.484294,491.952901,815.326812,1.004488
z_alpha_region[Latin America & Caribbean],0.126145,0.436571,-0.780758,0.953217,547.052727,727.372768,1.004758
z_alpha_region[Middle East & North Africa],0.534513,0.494937,-0.402583,1.555112,538.57708,878.98722,1.004324
z_alpha_region[North America],1.390096,0.675689,0.099471,2.770463,1167.519494,1877.833597,1.003216
z_alpha_region[South Asia],-1.050464,0.529251,-2.093271,0.023251,781.162035,1034.458025,1.011325
