,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
alpha0,10.449097,0.230311,9.949089,10.907793,343.866857,839.667807,1.016518
beta0,0.587507,0.058832,0.466051,0.703989,1402.940135,1739.86547,1.003482
theta[0],-0.098494,0.173171,-0.446904,0.249075,1393.628019,1758.186828,1.001779
theta[1],0.700601,0.157896,0.374213,1.006947,1284.128605,1646.314308,1.002059
theta[2],-0.427661,0.132695,-0.683801,-0.152844,1378.243866,1439.812755,1.001732
theta[3],0.109653,0.105749,-0.090578,0.336171,1285.391245,1203.42851,1.002721
theta[4],-0.081962,0.094262,-0.260234,0.123881,1434.766478,1275.43308,1.002639
theta[5],-0.110345,0.090604,-0.292459,0.072095,1507.283884,1262.540805,1.002587
theta[6],-0.093124,0.089864,-0.26946,0.089457,1605.007643,1334.301052,1.002731
theta[7],-0.071648,0.091325,-0.25421,0.106335,1718.771565,1725.310031,1.002681
theta[8],-0.049475,0.096144,-0.232243,0.144811,1842.779919,2334.809005,1.00252
theta[9],-0.149082,0.124227,-0.399802,0.093059,1802.968511,2249.227733,1.001991
theta[10],-0.095222,0.153069,-0.414989,0.199843,1906.560361,2243.588987,1.00146
theta[11],0.373881,0.180508,0.007485,0.730647,1957.213314,2547.403844,1.001775
delta_washare,0.065361,0.003034,0.059468,0.071226,5964.365921,9222.284727,1.002846
delta_olddep,0.018161,0.003714,0.0112,0.025755,6029.027066,7617.696244,1.001365
z_alpha_region[East Asia & Pacific],-0.265334,0.419588,-1.057406,0.55332,480.592746,953.665888,1.012689
z_alpha_region[Europe & Central Asia],0.592003,0.470054,-0.356341,1.456966,450.377716,895.874229,1.01148
z_alpha_region[Latin America & Caribbean],-0.037161,0.416847,-0.841273,0.769273,363.9729,862.80847,1.019075
z_alpha_region[Middle East & North Africa],0.381138,0.464354,-0.485417,1.322482,537.410201,1058.089657,1.009716
z_alpha_region[North America],1.515915,0.67515,0.171601,2.843954,1074.475195,1914.355298,1.005228
