,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
alpha0,10.44519,0.213833,10.02199,10.895306,365.245263,777.113917,1.007838
beta0,0.587981,0.056117,0.468529,0.691178,1368.756038,1794.197677,1.007098
theta[0],-0.094667,0.162084,-0.430424,0.214985,1181.341513,1780.783222,1.005187
theta[1],0.692288,0.147894,0.395268,0.989579,1194.085301,1687.961892,1.004674
theta[2],-0.407274,0.123952,-0.659546,-0.168365,1145.962843,1902.839139,1.005172
theta[3],0.091029,0.099261,-0.101846,0.290951,1076.102833,1908.661486,1.005306
theta[4],-0.087385,0.088964,-0.268828,0.084051,1038.17432,1679.788452,1.005155
theta[5],-0.118761,0.086095,-0.285556,0.05079,1008.476545,1575.138884,1.00539
theta[6],-0.099755,0.085823,-0.273088,0.061933,1037.649658,1598.89069,1.005174
theta[7],-0.07879,0.087866,-0.259357,0.084654,1083.077395,1680.435403,1.005143
theta[8],-0.055919,0.092694,-0.246017,0.120307,1144.68583,1564.394359,1.005259
theta[9],-0.154902,0.120187,-0.387023,0.091784,1251.291245,1739.539781,1.005557
theta[10],-0.100067,0.146973,-0.398346,0.189356,1359.523467,1843.986898,1.005283
theta[11],0.367699,0.174416,0.013512,0.708055,1418.576593,1854.307408,1.004988
delta_washare,0.065589,0.003062,0.059668,0.071662,5361.906869,6908.976698,1.001038
delta_olddep,0.018456,0.003732,0.011188,0.025789,4196.865466,6815.330745,1.000939
z_alpha_region[East Asia & Pacific],-0.261972,0.403871,-1.017124,0.582029,417.72498,870.549129,1.004217
z_alpha_region[Europe & Central Asia],0.62459,0.464788,-0.245016,1.565904,339.385324,412.859852,1.011949
z_alpha_region[Latin America & Caribbean],-0.034491,0.394677,-0.810748,0.714949,414.860411,816.938452,1.007752
z_alpha_region[Middle East & North Africa],0.399629,0.432676,-0.426929,1.281051,391.773711,939.885235,1.007624
z_alpha_region[North America],1.557374,0.684737,0.291881,2.949918,760.619209,586.92804,1.006214
z_alpha_region[South Asia],-0.893527,0.493147,-1.907108,0.043902,597.267093,1310.885205,1.003817
z_alpha_region[Sub-Saharan Africa],-1.314037,0.524611,-2.36074,-0.31226,453.280709,752.751011,1.003494
tau0,0.121969,0.015636,0.091742,0.152352,2017.443609,2833.776824,1.004158
z_tau_region[East Asia & Pacific],0.740712,0.442719,-0.148853,1.586928,2435.538917,3054.849758,1.002693
z_tau_region[Europe & Central Asia],0.688312,0.433348,-0.18267,1.502163,2382.119781,3225.928679,1.003477
z_tau_region[Latin America & Caribbean],-0.834288,0.466184,-1.744286,0.061487,2244.807484,2958.585239,1.002149
z_tau_region[Middle East & North Africa],-0.438975,0.420429,-1.269564,0.377578,2247.863779,3517.271846,1.002656
z_tau_region[North America],-0.293665,0.411561,-1.111161,0.489255,2421.531568,3934.877948,1.002557
z_tau_region[South Asia],1.368725,0.558433,0.298253,2.454116,2529.12231,2969.115585,1.002119
z_tau_region[Sub-Saharan Africa],-0.95238,0.488364,-1.921285,-0.021062,2257.828421,2829.164199,1.001937
z_alpha_country[Afghanistan],-0.987668,0.334952,-1.620006,-0.295732,1372.026479,2003.086902,1.002319
z_alpha_country[Albania],-1.423806,0.165506,-1.734031,-1.084938,757.320594,1126.1359,1.001032
z_alpha_country[Algeria],-0.112442,0.227448,-0.546857,0.34263,968.384615,1854.784983,1.003656
z_alpha_country[Angola],1.08229,0.159421,0.762294,1.386892,959.09717,1280.833969,1.002326
