,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
alpha0,10.452539,0.227799,10.036939,10.890107,513.448264,929.412999,1.002779
beta0,0.59715,0.036743,0.524157,0.667715,1343.798596,1734.303369,1.003726
theta[0],-5.8e-05,0.050499,-0.097387,0.100495,2374.884191,6337.250317,1.004299
theta[1],0.062871,0.065286,-0.062692,0.191283,1663.507039,3789.072775,1.004983
theta[2],-0.240368,0.069974,-0.376889,-0.102442,1154.474192,2376.457346,1.006919
theta[3],-0.13462,0.08051,-0.292654,0.025615,922.460612,1567.375987,1.008696
theta[4],-0.178901,0.088601,-0.347516,0.003284,854.790061,1325.78709,1.009197
theta[5],-0.252419,0.094936,-0.438623,-0.063636,838.27985,1331.037223,1.009112
theta[6],-0.221085,0.100083,-0.421237,-0.025251,833.426663,1252.140597,1.009097
theta[7],-0.203038,0.106193,-0.414585,0.005237,836.482634,1250.97586,1.008805
theta[8],-0.189626,0.114256,-0.413175,0.037189,838.763941,1268.880294,1.008752
theta[9],-0.265127,0.136152,-0.530935,0.006401,874.806408,1268.227406,1.008139
theta[10],-0.212623,0.151616,-0.523792,0.078653,902.702674,1341.740033,1.00754
theta[11],0.00895,0.163028,-0.303175,0.339776,949.208893,1488.498062,1.006902
delta_washare,0.064336,0.003179,0.05822,0.070652,7734.413922,12133.861257,1.000906
delta_olddep,0.020396,0.003746,0.012976,0.027656,5716.59822,9413.986862,1.000861
z_alpha_region[East Asia & Pacific],-0.232131,0.413992,-1.035544,0.589315,544.629623,861.815408,1.006068
z_alpha_region[Europe & Central Asia],0.592449,0.459799,-0.266231,1.489876,584.898286,938.709527,1.003667
z_alpha_region[Latin America & Caribbean],-0.016521,0.421701,-0.86601,0.78502,537.326414,893.608729,1.006377
z_alpha_region[Middle East & North Africa],0.35996,0.452876,-0.530523,1.233187,566.548538,1030.32337,1.005301
z_alpha_region[North America],1.538096,0.665576,0.256507,2.852621,1141.383244,2142.138204,1.003978
z_alpha_region[South Asia],-0.909999,0.522151,-1.963159,0.050174,642.285376,1394.376166,1.002417
z_alpha_region[Sub-Saharan Africa],-1.294636,0.543757,-2.385405,-0.274173,594.70308,1196.834186,1.005307
tau0,0.121001,0.016461,0.086566,0.153248,2427.38361,3314.408466,1.002262
z_tau_region[East Asia & Pacific],0.519781,0.41603,-0.300729,1.325547,2859.064779,4046.706765,1.001477
z_tau_region[Europe & Central Asia],0.603278,0.422127,-0.208851,1.449106,2809.099171,3843.712894,1.001243
z_tau_region[Latin America & Caribbean],-0.811831,0.472149,-1.742938,0.099619,2686.151881,3924.050745,1.00372
z_tau_region[Middle East & North Africa],-0.438384,0.430057,-1.272747,0.416557,2824.342359,4960.787969,1.003044
z_tau_region[North America],-0.192342,0.411297,-0.999728,0.611878,2944.316366,5361.030754,1.00213
z_tau_region[South Asia],1.582257,0.605402,0.359277,2.70517,3101.214853,3815.840225,1.00193
z_tau_region[Sub-Saharan Africa],-0.915818,0.492683,-1.899087,0.012577,2653.320094,3851.608,1.003889
z_alpha_country[Afghanistan],-1.039007,0.347437,-1.732368,-0.373062,1435.914192,2567.32186,1.002269
z_alpha_country[Albania],-1.474899,0.175771,-1.835881,-1.151875,982.815254,1390.941767,1.001843
z_alpha_country[Algeria],-0.118426,0.230696,-0.56607,0.335734,1249.516451,2511.998649,1.004684
z_alpha_country[Angola],1.065128,0.165437,0.746318,1.385768,986.03796,1775.224907,1.007029
z_alpha_country[Antigua and Barbuda],-0.647365,0.204041,-1.03595,-0.233626,1171.353607,1655.822521,1.007842
z_alpha_country[Argentina],1.21099,0.191233,0.835191,1.579173,1119.832059,1792.927449,1.003037
z_alpha_country[Armenia],-1.725509,0.18578,-2.095346,-1.375979,1042.520449,1539.682539,1.001862
z_alpha_country[Aruba],-0.04663,0.202975,-0.441688,0.354793,1224.001947,1954.862211,1.006789
z_alpha_country[Australia],2.404792,0.222546,1.990269,2.865744,1332.753695,1567.851338,1.001691
z_alpha_country[Austria],1.140883,0.162514,0.833954,1.461758,899.099697,1136.983037,1.004354
z_alpha_country[Azerbaijan],-0.902062,0.168278,-1.237421,-0.586132,983.447546,1675.459886,1.001286
z_alpha_country[Bahrain],0.421659,0.233441,-0.042898,0.881284,1240.835661,2153.577833,1.004308
z_alpha_country[Bangladesh],0.131142,0.346679,-0.561206,0.798774,1417.224693,2346.151005,1.001243
z_alpha_country[Barbados],0.327859,0.189324,-0.037619,0.705231,1140.438953,1804.119716,1.00612
z_alpha_country[Belarus],-0.901808,0.16878,-1.246989,-0.591623,980.358685,1615.039052,1.00148
z_alpha_country[Belgium],1.123165,0.161842,0.80602,1.431633,894.018641,1113.205846,1.00424
z_alpha_country[Belize],-0.951127,0.194833,-1.325274,-0.559911,1076.928689,1379.159131,1.008187
z_alpha_country[Benin],-0.234244,0.151262,-0.525777,0.060818,929.953213,1594.026887,1.004432
z_alpha_country[Bhutan],-0.861843,0.350696,-1.556751,-0.18443,1463.180658,2652.24307,1.002338
z_alpha_country[Bolivia],-0.581966,0.182399,-0.950132,-0.228438,978.837202,1267.485772,1.006685
z_alpha_country[Bosnia and Herzegovina],-1.305331,0.171592,-1.659576,-0.99411,961.739435,1309.034624,1.001715
z_alpha_country[Botswana],0.873309,0.166296,0.55635,1.2013,958.097455,1339.544382,1.005562
z_alpha_country[Brazil],1.299891,0.201808,0.908657,1.690897,1151.652361,1889.914369,1.002676
z_alpha_country[Brunei Darussalam],1.218002,0.208539,0.80038,1.622321,1295.088837,1648.37785,1.00135
z_alpha_country[Bulgaria],-0.652926,0.159369,-0.970259,-0.351298,906.724707,1398.361419,1.001374
z_alpha_country[Burkina Faso],-0.844278,0.158785,-1.157014,-0.537024,982.838582,1211.559194,1.003161
z_alpha_country[Burundi],-1.145606,0.162717,-1.457523,-0.821852,994.439037,1159.005945,1.003315
z_alpha_country[Cabo Verde],-0.058362,0.164313,-0.374267,0.264173,1005.387761,1811.231088,1.003558
z_alpha_country[Cambodia],-1.143639,0.193887,-1.529346,-0.773531,1090.344271,1307.939592,1.002029
z_alpha_country[Cameroon],0.267012,0.153491,-0.031882,0.559953,943.61794,1649.084459,1.005678
z_alpha_country[Canada],0.455025,0.684315,-0.863953,1.815327,1097.358209,2326.102392,1.004017
z_alpha_country[Central African Republic],-0.878524,0.15654,-1.173478,-0.569359,955.969743,1246.902484,1.003431
z_alpha_country[Chad],-0.374094,0.152614,-0.667911,-0.075695,940.410359,1410.1383,1.003664
z_alpha_country[Channel Islands],0.106822,0.181367,-0.23736,0.473274,1063.764345,2199.943108,1.001865
z_alpha_country[Chile],0.600639,0.182524,0.236392,0.949711,1069.972347,1826.286897,1.004379
z_alpha_country[China],-0.294881,0.234936,-0.747203,0.169948,1559.117536,2378.842694,1.001246
z_alpha_country[Colombia],0.463785,0.183651,0.099427,0.8207,1049.176728,1638.342691,1.004398
z_alpha_country[Comoros],-0.60666,0.16001,-0.912766,-0.298463,975.354413,1835.97494,1.003523
"z_alpha_country[Congo, Dem. Rep.]",0.461767,0.162715,0.136626,0.769057,1027.786648,1842.838861,1.004521
z_alpha_country[Costa Rica],0.300714,0.179017,-0.047937,0.652414,1048.56293,1621.358542,1.005615
z_alpha_country[Cote d'Ivoire],0.706018,0.159235,0.393526,1.008402,961.605847,1728.02612,1.006617
z_alpha_country[Croatia],-0.247065,0.155094,-0.55473,0.046762,884.478615,1553.349213,1.001526
z_alpha_country[Cuba],0.271146,0.179604,-0.083275,0.62178,1036.151644,1562.13779,1.005257
z_alpha_country[Curacao],-0.110502,0.196849,-0.496029,0.276348,1181.903609,1828.165219,1.006891
z_alpha_country[Cyprus],-0.284957,0.161162,-0.599473,0.023867,942.752022,1597.372202,1.00155
z_alpha_country[Czechia],0.259016,0.153507,-0.036212,0.556551,867.740136,1476.442999,1.002541
z_alpha_country[Denmark],1.2629,0.165597,0.942956,1.583089,908.826507,1042.243081,1.004214
z_alpha_country[Djibouti],-1.849384,0.254283,-2.346398,-1.348206,1191.903332,1594.208812,1.00464
z_alpha_country[Dominican Republic],-0.10463,0.179116,-0.462837,0.240244,1011.219455,1345.787509,1.005917
z_alpha_country[Ecuador],0.15183,0.178938,-0.21204,0.492014,1019.388664,1483.531915,1.005415
z_alpha_country[El Salvador],-0.301184,0.179333,-0.65717,0.047306,995.052438,1307.769677,1.006499
z_alpha_country[Equatorial Guinea],1.246425,0.189789,0.873102,1.610796,1106.955715,1984.11342,1.003204
z_alpha_country[Eritrea],-0.774263,0.158541,-1.07461,-0.461714,980.337125,1468.807064,1.00347
z_alpha_country[Estonia],-0.493906,0.16201,-0.807952,-0.18002,947.338915,1637.367541,1.00144
z_alpha_country[Eswatini],0.150107,0.158755,-0.147138,0.468593,949.267636,1469.828281,1.004922
z_alpha_country[Ethiopia],-0.514338,0.163657,-0.840552,-0.198983,1035.270848,1310.011604,1.003154
z_alpha_country[Fiji],-0.475313,0.18397,-0.840962,-0.116556,1014.151795,2032.316484,1.002097
z_alpha_country[Finland],0.969927,0.160874,0.65367,1.276447,893.279296,1227.634371,1.004021
z_alpha_country[France],1.589526,0.174092,1.251086,1.922011,943.919769,1111.611139,1.003587
z_alpha_country[French Polynesia],0.935323,0.204306,0.539923,1.347144,1229.677528,1526.046865,1.001994
z_alpha_country[Gabon],1.200616,0.177786,0.858652,1.547767,1010.60956,1530.418576,1.004598
z_alpha_country[Georgia],-0.890202,0.170989,-1.229305,-0.564087,1010.282447,1895.25289,1.001472
z_alpha_country[Germany],1.757523,0.179201,1.405186,2.095352,965.082259,1145.140665,1.00376
