,mean,sd,hdi_2.5%,hdi_97.5%,ESS_bulk,ESS_tail,R_hat
beta_global,0.805401,0.113909,0.566536,1.015026,1963.147384,2311.349215,1.001486
z_beta_region[East Asia & Pacific],-0.003588,0.872829,-1.651012,1.807353,5066.916659,4366.211629,0.99987
z_beta_region[Europe & Central Asia],0.079762,0.914728,-1.673459,1.857673,7054.022304,4277.671235,0.999777
z_beta_region[Latin America & Caribbean],0.171239,0.885507,-1.652236,1.885629,4002.302221,3750.450571,1.000913
z_beta_region[Middle East & North Africa],-0.514255,0.899987,-2.295615,1.284517,3434.028593,3876.261551,1.000464
z_beta_region[North America],-0.065919,0.96797,-1.910368,1.839691,9073.797979,4610.336542,1.000864
z_beta_region[South Asia],0.056147,0.926123,-1.686587,1.922318,5698.937047,4545.091702,1.000573
z_beta_region[Sub-Saharan Africa],0.132291,0.898403,-1.705521,1.889942,2827.072234,3388.912019,1.002342
z_beta_country[ABW],0.01555,0.966482,-1.915155,1.81969,10560.991506,4232.363953,1.000506
z_beta_country[AFG],-0.024293,0.860908,-1.639364,1.745996,8663.17357,4711.392194,1.000748
z_beta_country[AGO],-0.172075,0.844017,-1.926484,1.388236,8333.905437,3755.498104,1.002366
z_beta_country[ALB],-0.169932,0.971805,-2.077027,1.709085,9555.17848,4665.395224,0.999805
z_beta_country[ARE],-0.331879,0.736223,-1.829551,1.085034,6695.653307,3623.698055,0.999976
z_beta_country[ARG],-0.135881,0.972856,-2.07979,1.737258,9501.764307,4078.755029,1.000769
z_beta_country[ARM],0.141472,0.953422,-1.70561,1.972316,10243.061361,4590.261585,1.001207
z_beta_country[ATG],-0.108776,0.962953,-1.988345,1.70765,9257.796914,4004.430277,1.000862
z_beta_country[AUS],-0.201628,0.959334,-2.055654,1.713064,8610.193058,3785.362044,1.00001
z_beta_country[AUT],-0.024265,0.997986,-1.939671,1.935359,9045.93415,4431.848536,1.000003
z_beta_country[AZE],0.253743,0.95682,-1.525311,2.152856,8675.016066,4542.030303,1.001381
z_beta_country[BDI],-0.348843,0.857567,-2.080737,1.311004,9186.6921,4510.063653,0.999574
z_beta_country[BEL],-0.045769,0.967922,-1.980621,1.828442,9580.909483,3280.275867,1.000156
z_beta_country[BEN],0.11957,0.85834,-1.619423,1.805382,9536.808663,4306.245335,1.001089
z_beta_country[BFA],0.473994,0.865084,-1.262752,2.10742,7810.756768,4522.417388,1.001161
z_beta_country[BGD],-0.180477,0.898715,-1.886015,1.65975,8726.421403,4451.699001,1.00095
z_beta_country[BGR],-0.04211,0.981108,-2.044771,1.81075,8408.888992,4384.353422,1.000668
z_beta_country[BHR],-0.218678,0.752768,-1.700315,1.280804,7814.621679,3673.441313,1.000357
z_beta_country[BIH],-0.390133,0.976528,-2.414709,1.41619,7313.099311,3939.106644,1.001655
z_beta_country[BLR],0.002612,1.003136,-1.890996,1.965934,9609.178965,4492.605873,1.00061
z_beta_country[BLZ],0.089459,0.853763,-1.550543,1.808337,8663.620508,4302.465836,1.002073
z_beta_country[BOL],-0.041548,0.902323,-1.800852,1.697689,9326.450292,4496.095345,1.00236
z_beta_country[BRA],0.252772,0.895021,-1.478058,2.03504,7833.62705,3572.92895,1.000514
z_beta_country[BRB],-0.022007,1.009988,-1.957234,1.944618,9951.847202,4410.616279,1.000235
z_beta_country[BRN],-1.557726,0.959886,-3.480959,0.218344,2536.275833,2587.196421,1.001663
z_beta_country[BTN],0.503342,0.919068,-1.237966,2.297377,6877.275656,3936.111709,1.001064
z_beta_country[BWA],1.401131,0.853515,-0.26667,3.115801,3778.929854,2764.52029,1.002949
z_beta_country[CAF],-0.539443,0.912738,-2.324101,1.212551,6070.84013,3560.101755,1.000316
z_beta_country[CAN],-0.058454,0.953953,-1.897189,1.796787,8918.545168,4181.557965,1.000058
z_beta_country[CHE],-0.134309,0.977497,-1.985152,1.926494,9082.012151,4024.25974,1.000743
z_beta_country[CHI],-0.060365,1.013897,-2.00756,2.021462,8716.459666,4210.983144,0.999972
z_beta_country[CHL],0.185916,0.902991,-1.496212,1.978164,8895.740925,4486.654254,1.000555
z_beta_country[CHN],0.892031,0.961307,-1.035057,2.711992,4949.718264,3368.755976,1.002335
z_beta_country[CIV],-0.070342,0.801124,-1.67044,1.459371,8812.339144,4573.869217,1.002606
z_beta_country[CMR],-0.074126,0.854841,-1.741753,1.573173,8668.602673,4296.22122,1.000762
z_beta_country[COD],-0.923117,0.876932,-2.58809,0.843704,5303.874378,4225.928991,1.002434
z_beta_country[COL],0.061721,0.867485,-1.636409,1.744254,7564.243501,4358.137172,1.00287
z_beta_country[COM],-0.125507,0.920155,-1.866546,1.723702,9416.262361,4247.712358,1.00029
z_beta_country[CPV],0.836733,0.938243,-0.968407,2.700867,5004.698266,4182.280725,1.000314
z_beta_country[CRI],0.156599,0.871157,-1.665424,1.780522,8517.845131,4298.462792,1.000051
z_beta_country[CUB],0.164232,0.953367,-1.75477,1.925851,8861.570179,4036.144701,1.001607
z_beta_country[CUW],-0.132621,0.98453,-1.998985,1.816042,9194.528803,4351.009353,1.000662
z_beta_country[CYP],0.118476,0.940323,-1.776257,1.899432,8666.601814,4469.731552,1.001306
z_beta_country[CZE],-0.047449,0.984545,-1.965338,1.817324,9348.40901,4447.613782,1.000825
z_beta_country[DEU],0.064104,0.966645,-1.847604,1.880872,10038.471587,4582.201213,1.001494
z_beta_country[DNK],0.003794,0.999396,-1.920146,1.942828,9430.551839,4413.664895,1.000871
z_beta_country[DOM],0.435646,0.873352,-1.352737,2.06495,8312.261103,3740.215356,1.001942
z_beta_country[DZA],-0.288071,0.864678,-1.887899,1.4475,9099.111102,4314.331172,1.000514
z_beta_country[ECU],-0.028083,0.891752,-1.911359,1.597856,9596.95167,4337.313151,1.00085
z_beta_country[ERI],-0.418493,0.973108,-2.309018,1.494298,6953.105035,3974.039403,0.999894
z_beta_country[ESP],0.035736,0.997753,-1.822631,2.086381,9299.646242,4411.488982,1.000097
z_beta_country[EST],-0.010449,0.990513,-1.920516,1.938153,8972.783134,4163.550644,1.001195
z_beta_country[ETH],0.665095,0.848831,-1.025197,2.323024,7031.989888,4416.107784,1.000007
z_beta_country[FIN],0.031593,0.964333,-1.756429,1.997292,9040.036881,4091.550883,1.001104
z_beta_country[FJI],-0.459182,0.906182,-2.246643,1.333347,8428.926509,4373.076948,1.000205
z_beta_country[FRA],0.008799,0.998783,-1.903498,2.000245,9362.317007,4476.788685,0.999979
z_beta_country[FSM],-0.121141,0.909614,-1.808277,1.705469,9286.62634,4761.638762,1.000294
z_beta_country[GAB],-0.293741,0.867717,-2.038316,1.377942,9226.136899,4131.79956,1.000183
z_beta_country[GBR],-0.062841,1.016118,-2.024093,1.950409,10086.288606,4723.944792,0.99991
z_beta_country[GEO],0.226599,0.985494,-1.697342,2.1573,8387.565852,3992.795575,1.001043
z_beta_country[GHA],-0.037891,0.848958,-1.801755,1.565941,8908.382234,4143.188326,1.000741
z_beta_country[GIN],0.316458,0.916296,-1.541076,2.048709,8100.124338,4239.488017,1.001923
z_beta_country[GNB],-0.195755,0.902447,-2.013161,1.532863,9396.69102,4202.219106,1.000892
z_beta_country[GNQ],0.65367,0.794406,-0.868698,2.237158,7532.914964,3902.165525,0.999982
z_beta_country[GRC],0.113948,1.000239,-1.820519,2.062249,8455.602411,3963.10064,1.001166
z_beta_country[GRD],-0.00443,0.969864,-1.994472,1.85207,9877.311731,4436.405865,1.00258
z_beta_country[GTM],-0.037026,0.84971,-1.701857,1.649352,8060.634322,4872.161867,0.999868
z_beta_country[GUM],-0.020819,1.023892,-1.969612,1.997723,9098.538945,3948.865305,1.000807
z_beta_country[GUY],-0.100884,0.973765,-2.042566,1.764103,8956.994578,4144.243432,1.000763
z_beta_country[HKG],0.49115,0.924936,-1.323672,2.337593,7712.600061,4348.243106,1.000768
z_beta_country[HND],0.894582,0.846309,-0.790846,2.540766,4896.541856,3990.410892,1.000226
z_beta_country[HRV],0.105158,1.009214,-1.858786,2.096986,8658.589051,4096.239579,1.00016
z_beta_country[HTI],-0.607131,0.944167,-2.430964,1.286404,7526.971891,4222.23632,1.000203
z_beta_country[HUN],0.054893,0.993892,-1.953822,1.911081,9518.376018,4621.449911,1.000065
z_beta_country[IDN],0.241696,0.877769,-1.52673,1.925197,8485.035032,4379.314273,0.999939
z_beta_country[IND],0.110001,0.907451,-1.623708,1.922718,8722.814804,4770.176254,1.000227
z_beta_country[IRL],0.22336,0.967435,-1.675842,2.119592,9089.337858,4751.557812,1.000614
z_beta_country[IRN],-0.265472,0.862413,-1.967973,1.440757,7640.848178,4228.629948,1.000206
z_beta_country[IRQ],0.435349,0.838775,-1.261562,2.028877,7802.443398,4565.43924,1.00069
z_beta_country[ISL],-0.010389,0.957252,-1.920786,1.816384,8824.050123,4283.002869,1.002594
z_beta_country[ISR],0.436494,0.903444,-1.336516,2.233946,7654.258062,4184.503921,1.001602
z_beta_country[ITA],0.077183,1.015733,-1.833061,2.177205,8566.642807,4211.293189,1.003172
z_beta_country[JAM],-0.449523,0.952147,-2.346357,1.339655,7731.746185,4250.352229,1.000513
z_beta_country[JOR],-0.548601,0.777721,-2.102066,0.953528,7222.948709,4062.54428,1.001089
z_beta_country[JPN],0.373512,0.980905,-1.394766,2.47463,8535.682688,4011.263886,1.000621
z_beta_country[KAZ],0.328789,1.006761,-1.752028,2.191943,7743.832856,3727.162367,1.00068
z_beta_country[KEN],0.049021,0.815044,-1.460592,1.690082,8868.897356,4147.670225,1.00042
z_beta_country[KHM],0.20434,0.895179,-1.512677,1.996591,8466.815907,4019.978257,1.001277
z_beta_country[KIR],-0.619781,0.948218,-2.381911,1.330113,6534.080587,4072.330462,1.000862
z_beta_country[KOR],1.13168,0.966085,-0.752217,3.033037,4332.253699,3510.143448,1.001157
z_beta_country[KWT],-1.538848,0.855516,-3.08729,0.283677,2961.869028,2662.236994,1.00116
z_beta_country[LAO],0.473985,0.928177,-1.294218,2.331588,7837.074552,4460.019923,1.002899
z_beta_country[LBN],0.425124,0.964154,-1.402652,2.317478,9276.785886,4492.492069,1.0001
z_beta_country[LBR],-0.698529,0.892873,-2.471547,1.021156,6262.429523,4322.725003,1.0012
z_beta_country[LBY],-0.548277,0.825517,-2.226146,0.992645,5801.863133,3949.735584,1.001007
z_beta_country[LKA],0.094165,0.949523,-1.790147,1.967196,8892.305851,4737.119891,1.000908
z_beta_country[LSO],0.362487,0.915971,-1.485693,2.101854,8454.318637,3882.008878,1.000381
z_beta_country[LTU],-0.10355,0.964468,-1.899561,1.844578,9400.467415,4429.610585,1.001706
z_beta_country[LUX],-0.067379,0.954232,-1.927165,1.810904,8731.957732,4674.167271,1.000013
z_beta_country[LVA],0.020557,0.983313,-1.938827,1.901807,9454.434274,4128.130686,1.000565
z_beta_country[MAC],0.219398,0.883754,-1.509649,1.955331,8358.190023,4262.118618,1.000555
z_beta_country[MAR],0.141371,0.893667,-1.598954,1.864886,9718.489469,4285.680301,1.001376
z_beta_country[MDA],-0.139526,1.013325,-1.992572,1.952875,10193.13414,4375.776556,1.001008
z_beta_country[MDG],-0.838167,0.844328,-2.428121,0.827834,5780.657664,3843.973918,1.000379
z_beta_country[MDV],-0.028107,0.846824,-1.700569,1.614962,9710.941294,4887.740635,1.000194
z_beta_country[MEX],0.016342,0.882785,-1.685722,1.787353,8188.922618,4423.684336,1.001453
z_beta_country[MKD],-0.02404,1.017112,-2.158889,1.859259,9623.618602,3968.265238,1.001251
z_beta_country[MLI],0.162908,0.882441,-1.523754,1.917016,9306.618501,3977.601449,1.002276
z_beta_country[MLT],0.556811,0.974893,-1.292141,2.520229,7485.536018,4719.205705,0.999978
z_beta_country[MMR],0.202883,0.91381,-1.574823,2.01187,7929.488422,4363.068557,0.999941
z_beta_country[MNE],-0.009519,1.014949,-2.019413,1.919866,10601.80427,4260.23968,1.00092
z_beta_country[MNG],-0.039286,0.954026,-1.847779,1.809844,9668.426312,4395.006363,1.000428
z_beta_country[MOZ],0.6192,0.900841,-1.210643,2.32251,5974.101198,3928.335554,1.000783
z_beta_country[MRT],-0.389156,0.856331,-2.046824,1.276286,9648.473563,4676.209179,1.003836
z_beta_country[MUS],0.34146,0.944795,-1.52693,2.183986,7641.125919,4254.188476,1.001047
z_beta_country[MWI],0.019211,0.819663,-1.586965,1.65076,8225.63087,4441.201547,1.00012
z_beta_country[MYS],0.434146,0.860781,-1.291186,2.086598,8027.309125,4374.016928,1.002156
z_beta_country[NAM],-0.22214,0.894735,-1.945738,1.543267,9370.599685,4041.427585,1.000992
z_beta_country[NER],-0.482577,0.81882,-2.056639,1.187608,7192.201736,3877.453142,1.000135
z_beta_country[NGA],-0.054525,0.866153,-1.683226,1.711651,9143.415669,4423.627218,1.001811
z_beta_country[NIC],-0.569004,0.863909,-2.308864,1.064234,7228.147116,4158.545593,1.001056
z_beta_country[NLD],-0.029471,0.993835,-1.993608,1.964787,9258.076042,3959.103584,1.000307
z_beta_country[NOR],-0.064682,1.017077,-1.987446,2.029255,8704.812384,4269.609142,1.001573
z_beta_country[NPL],-0.222443,0.920856,-1.981617,1.622983,7587.00399,3746.861958,1.000921
z_beta_country[NZL],-0.316767,0.973399,-2.178693,1.614425,8341.946953,3837.344616,0.999943
z_beta_country[OMN],0.090082,0.741746,-1.292474,1.619334,7091.183622,3195.040696,1.000951
z_beta_country[PAK],-0.065577,0.869636,-1.846805,1.552363,10210.47242,4684.460304,1.000049
z_beta_country[PAN],0.460859,0.890318,-1.343675,2.152353,8893.494964,4491.847851,0.999736
z_beta_country[PER],-0.225566,0.872326,-1.881701,1.555221,7790.498464,4204.612845,1.000689
z_beta_country[PHL],-0.305068,0.879809,-2.123242,1.312637,7624.004489,4306.248566,1.000203
