ISO3,g_pop_pct,g_agg_A_pct,g_agg_B_pct,g_agg_fitted_pct,oadr_2024,oadr_2050,oadr_2100,pressure_2050_pct,pressure_2100_pct,benefit_shortfall_2050_pct,benefit_shortfall_2100_pct,benefit_shortfall_2100_fitted_vs_B_pct,debt_wedge_pp_per_100pct_debt,doubling_years_A,doubling_years_B,doubling_delay_years,npv_ratio_B_over_A,gdp_2100_ratio_B_over_A
ABW,-0.47763584165992884,0.942281231877622,0.7843372521175691,0.942281231877622,0.2552294267462736,0.3718819820647017,0.5165602257537502,14.570497877362461,20.239054420134263,-3.1668963800373096,-11.311275531996012,-11.311275531996012,0.15794397976005292,52.0,56.0,4.0,0.95198704983341,0.8868872446800399
AFG,1.4687260753561642,3.9539476682835057,4.272039345884362,3.9539476682835057,0.0487843926283892,0.0826879294011424,0.3294509295763632,16.949668725202834,67.53203469927904,14.642623735762994,27.347537016144607,27.347537016144607,-0.3180916776008569,25.0,20.0,-5.0,1.181918379183921,1.2734753701614459
AGO,1.8110018546841276,2.986418273430319,3.3839313785487457,2.986418273430319,0.0521911690679762,0.0678517892478477,0.1674592644912326,13.000626439211274,32.08574697246691,17.54578543902221,35.270996237052366,35.270996237052366,-0.39751310511842686,59.0,40.0,-19.0,1.220604968444994,1.3527099623705237
ALB,-1.1275444333749354,1.231713306839015,0.7436381347788612,1.231713306839015,0.2546011295428436,0.4655914402028898,0.7435080591069662,18.28709248222488,29.202857836569446,-10.810418579764036,-30.991267454324145,-30.991267454324145,0.48807517206015366,32.0,42.0,10.0,0.872700357730373,0.6900873254567584
ARE,1.135381684565757,2.499054422629552,2.702602836664564,2.499054422629552,0.0257030619555898,0.1847017845520778,0.4341960991976789,71.859837116375,168.92777208718965,6.138681078733943,16.730397465174374,16.730397465174374,-0.20354841403501245,54.0,47.0,-7.0,1.0912079279385962,1.167303974651744
ARG,-0.23383433803795098,1.145274189552111,1.0296965918270724,1.145274189552111,0.1900887563208754,0.2849182559758419,0.5126234018200168,14.988695885562612,26.96758144677918,0.3723222299949036,-8.409165034078747,-8.409165034078747,0.11557759772503878,51.0,53.0,2.0,0.9921016196624526,0.9159083496592125
ARM,-0.7418760149737347,1.4956351295288506,1.2195994125739285,1.4956351295288506,0.2155057969731834,0.36886327507757904,0.6075641974749078,17.11616486694689,28.19247584094039,-4.970207080866396,-18.92431986635256,-18.92431986635256,0.27603571695492235,33.0,38.0,5.0,0.9257512328734582,0.8107568013364744
ATG,-0.4233240966693909,1.013227970818191,0.8535157018342254,1.013227970818191,0.1347143334447043,0.3085938986490772,0.5187580666212277,22.907280224620244,38.5080082687831,-1.9877144211880027,-11.430384238962276,-11.430384238962276,0.15971226898396554,51.0,54.0,3.0,0.9693748912713047,0.8856961576103773
AUS,0.6307605847916645,2.4377259609376094,2.4985378808920005,2.4377259609376094,0.2750370802998297,0.372377211364454,0.5311306914987534,13.539163917771004,19.31123944886795,2.529953492486947,4.730171272269912,4.730171272269912,-0.060811919954391336,39.0,37.0,-2.0,1.03152634978001,1.0473017127226991
AUT,-0.2752233678607425,1.712341160128748,1.6136676151400575,1.712341160128748,0.3335337874030867,0.5451539651494098,0.6128762840840521,16.344789815568912,18.375238348592575,-5.397436886856887,-7.224899352984315,-7.224899352984315,0.09867354498869045,38.0,40.0,2.0,0.9512234994208306,0.9277510064701571
AZE,-0.04075519247152973,1.9908250627583015,1.9328361427452538,1.9908250627583015,0.1235952421965231,0.2648516354158957,0.4490181989087369,21.42895071921679,36.329731705592174,-0.051824016854606914,-4.3114538083697695,-4.3114538083697695,0.057988920013047826,36.0,37.0,1.0,0.988910965962559,0.9568854619163024
BDI,1.304998720813801,2.461043645301255,2.853591483137989,2.461043645301255,0.0567727976152715,0.0662544100014617,0.1727021189315276,11.670097790572807,30.419871168207486,18.300819258996093,34.76149910629247,34.76149910629247,-0.3925478378367337,62.0,42.0,-20.0,1.2250061790117341,1.347614991062925
BEL,-0.07826944306577328,1.9789477486702594,1.9167959564501287,1.9789477486702594,0.328823109082841,0.4626453996723434,0.5470689989132241,14.069734969745944,16.637182235735143,-2.3823532784194246,-4.6137131987080355,-4.6137131987080355,0.06215179222013069,36.0,38.0,2.0,0.9775397373196407,0.9538628680129199
BEN,1.3249217747966617,2.6073628329184704,2.821091670306488,2.6073628329184704,0.0605324008775583,0.078799619746128,0.1742934105508393,13.017758853728543,28.793407831847063,8.196759271072462,17.63705770948567,17.63705770948567,-0.2137288373880178,52.0,41.0,-11.0,1.111888431755025,1.176370577094857
BFA,0.9868805925526134,2.607452447495622,2.6959678858257696,2.607452447495622,0.045881571989514,0.0670475114535491,0.1909521454372462,14.613167889904135,41.618483665051265,4.989875903144392,6.958608066412841,6.958608066412841,-0.08851543833014765,40.0,37.0,-3.0,1.0453665958618765,1.0695860806641284
BGD,0.24192744620818132,2.5986025027634296,2.5486805468458535,2.5986025027634296,0.0838252783782576,0.240052378940288,0.6293630665429215,28.637230151155958,75.08034315173408,4.191690350444777,-3.722995553874797,-3.722995553874797,0.04992195591757634,30.0,28.0,-2.0,1.0178811617400838,0.962770044461252
BGR,-0.8540049704740624,1.5462004801740574,1.234047104029114,1.5462004801740574,0.3560100615724282,0.5037640067642363,0.5166719032374003,14.150274420312932,14.512845534627857,-9.81716526248274,-21.119533831740554,-21.119533831740554,0.31215337614494343,32.0,37.0,5.0,0.8968428295805114,0.7888046616825946
BHR,0.8603632082911363,2.2991365030933313,2.4227144283932938,2.2991365030933313,0.0487415354434635,0.17756451972208231,0.5504095388741086,36.429816604370984,112.92412802886405,5.416505047419018,9.84710113909102,9.84710113909102,-0.12357792529996241,49.0,42.0,-7.0,1.06554359144625,1.0984710113909104
BIH,-1.104858977459326,1.6202514968812916,1.1475600260533325,1.6202514968812916,0.2981304362605936,0.4898023801054412,0.6159152235702318,16.429130358139904,20.65925342261482,-13.432088181749135,-30.17970909562405,-30.17970909562405,0.47269147082795915,27.0,36.0,9.0,0.8511292867287726,0.6982029090437595
BLR,-0.964615004678089,1.419444527380243,1.110232929249686,1.419444527380243,0.2686444230298394,0.4004193430396809,0.45699678516154174,14.905179810682496,17.011214303554752,-8.125700902390387,-20.9429794353591,-20.9429794353591,0.3092115981305571,32.0,37.0,5.0,0.9087787017497574,0.790570205646409
BLZ,0.09228135498519074,1.5634593330314608,1.5261717468151101,1.5634593330314608,0.068369512682035,0.1488632120890565,0.3989749240617365,21.77333233035787,58.355677612804236,1.5740750858388441,-2.794079465160093,-2.794079465160093,0.037287586216350546,45.0,43.0,-2.0,1.0192075235936913,0.972059205348399
BOL,0.4713300091887258,1.7632863961522065,1.8580975797691424,1.7632863961522065,0.1187218085255269,0.1890531247398476,0.4409462552605981,15.92404353402336,37.14113360779779,5.854330180129397,7.4716063321234705,7.4716063321234705,-0.09481118361693575,52.0,47.0,-5.0,1.0503546633279683,1.0747160633212345
BRA,-0.3428925155781055,0.8939124619782857,0.7975623127482486,0.8939124619782857,0.1583259426910879,0.3667476615526368,0.632455924638547,23.16409145077403,39.94644932400884,-0.6659049972447817,-7.060934143012321,-7.060934143012321,0.0963501492300371,59.0,64.0,5.0,0.9801715354309056,0.9293906585698767
BRB,-0.48962117038442887,0.9575983226007261,0.8433456888326754,0.9575983226007261,0.2922469772831624,0.442316167114598,0.5309308838515203,15.13501255775287,18.167198469844003,-3.8095857676416767,-8.316889120325888,-8.316889120325888,0.11425263376805081,49.0,53.0,4.0,0.9606127489828632,0.9168311087967412
BRN,0.00591557048707871,2.075260342311963,1.8908362120811328,2.075260342311963,0.10232239860607849,0.3505020475900521,0.5737241605105993,34.2546746719081,56.070241543039536,-1.5633488041004062,-13.078288387152249,-13.078288387152249,0.18442413023082999,37.0,39.0,2.0,0.9560522202701155,0.8692171161284775
BTN,-0.17979304262801676,2.279076481718837,2.2305206715871906,2.279076481718837,0.0867591458106816,0.2507139009836638,0.5725483160657726,28.89769126251546,65.99284844449006,-0.0027144561448921856,-3.6229820401354917,-3.6229820401354917,0.048555810131646615,27.0,27.0,0.0,0.9868039741403324,0.9637701795986452
BWA,0.5525452870264607,2.1078138490138,2.031199570785145,2.1078138490138,0.0736769932654674,0.1708576431685345,0.3932994279956657,23.190094437338544,53.381579590057214,-5.887080530549205,-5.65640966466111,-5.65640966466111,0.0766142782286549,40.0,44.0,4.0,0.9501488422651129,0.9434359033533889
CAF,1.6569295695794617,2.46249929839972,3.0546615180923378,2.46249929839972,0.0643423892767681,0.0714449051136884,0.2560980010924594,11.103862619457432,39.802376624662884,28.59415931584417,56.838007443637274,56.838007443637274,-0.5921622196926178,,42.0,,1.3530178227854301,1.5683800744363727
CAN,0.39389198103746725,2.059140511810591,2.1060705581216688,2.059140511810591,0.3192167760887783,0.4384929009738786,0.5561834571839813,13.736524325147876,17.423378056712767,1.8055299194920105,3.6310526776828445,3.6310526776828445,-0.04693004631107778,44.0,43.0,-1.0,1.0169931008142206,1.0363105267768284
CHE,0.029768197180287233,1.5700302077814392,1.5101994673106167,1.5700302077814392,0.3181400160336224,0.5004904634460479,0.6030862672318331,15.73176709066218,18.95663031487672,-1.4322022113549937,-4.445303358997332,-4.445303358997332,0.05983074047082263,46.0,49.0,3.0,0.9765970964188875,0.9555469664100266
CHL,-0.5083739915792673,0.8935295664249819,0.7216214137858824,0.8935295664249819,0.2053356272854188,0.3923764308793819,0.6207629395343764,19.10902828051239,30.231623597959896,-1.5033705672441444,-12.24753176519322,-12.24753176519322,0.1719081526390996,55.0,58.0,3.0,0.9764835846110886,0.8775246823480678
CHN,-1.0616872011163907,1.3373105592466614,1.2878176602650866,1.3373105592466614,0.1974850924964956,0.44043215930923996,0.5830385191531298,22.302045878073333,29.523166117638777,-1.3282236693576643,-3.691596114170348,-3.691596114170348,0.04949289898157471,32.0,33.0,1.0,0.9883760759660892,0.9630840388582965
CIV,1.5541106056774894,2.78848875935784,3.1208296490773955,2.78848875935784,0.054905928534023,0.0652814680375738,0.1467710987689598,11.889693841917543,26.73137540657593,14.539643093596432,28.7341290170418,28.7341290170418,-0.3323408897195554,56.0,43.0,-13.0,1.16707479540563,1.2873412901704178
CMR,1.468006372119141,2.7190423345439214,3.00178606724276,2.7190423345439214,0.0567185454588865,0.0824324088582523,0.2332058784245974,14.533590061473802,41.11633620675993,12.806244583311322,23.971961467512415,23.971961467512415,-0.2827437326988383,56.0,44.0,-12.0,1.154789234498071,1.239719614675124
