ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
HKG,"Hong Kong SAR, China",East Asia & Pacific,-0.016723485727895657,0.761,0.233,0.0,0.006,0.994,0.239
PRI,Puerto Rico,Latin America & Caribbean,-0.015534709786481343,0.408,0.488,0.0,0.104,0.896,0.592
JAM,Jamaica,Latin America & Caribbean,-0.01287992599919606,0.412,0.452,0.0,0.136,0.864,0.588
UKR,Ukraine,Europe & Central Asia,-0.012010216119313008,0.842,0.145,0.0,0.013,0.987,0.158
KOR,"Korea, Rep.",East Asia & Pacific,-0.011337531152025314,0.934,0.059,0.0,0.007,0.993,0.066
LTU,Lithuania,Europe & Central Asia,-0.011328758806588863,0.872,0.115,0.0,0.013,0.987,0.128
ALB,Albania,Europe & Central Asia,-0.011275444333749354,0.836,0.147,0.0,0.017,0.983,0.164
BIH,Bosnia and Herzegovina,Europe & Central Asia,-0.01104858977459326,0.904,0.093,0.0,0.003,0.997,0.096
CHN,China,East Asia & Pacific,-0.010616872011163906,0.949,0.046,0.0,0.005,0.995,0.051
MUS,Mauritius,Sub-Saharan Africa,-0.010285656215698573,0.62,0.282,0.0,0.098,0.902,0.38
MAC,"Macao SAR, China",East Asia & Pacific,-0.010223542568706877,0.875,0.112,0.0,0.013,0.987,0.125
MKD,North Macedonia,Europe & Central Asia,-0.009839901273051512,0.879,0.102,0.0,0.019,0.981,0.121
BLR,Belarus,Europe & Central Asia,-0.00964615004678089,0.889,0.101,0.0,0.01,0.99,0.111
MDA,Moldova,Europe & Central Asia,-0.009380962572578273,0.86,0.12,0.0,0.02,0.98,0.14
LVA,Latvia,Europe & Central Asia,-0.009269723766114691,0.905,0.082,0.0,0.013,0.987,0.095
POL,Poland,Europe & Central Asia,-0.009079289038166983,0.886,0.099,0.0,0.015,0.985,0.114
CUB,Cuba,Latin America & Caribbean,-0.008912554101729028,0.657,0.253,0.0,0.09,0.91,0.343
MNE,Montenegro,Europe & Central Asia,-0.008844018325903168,0.896,0.087,0.0,0.017,0.983,0.104
BGR,Bulgaria,Europe & Central Asia,-0.008540049704740624,0.93,0.063,0.0,0.007,0.993,0.07
HRV,Croatia,Europe & Central Asia,-0.007804624964414061,0.908,0.075,0.0,0.017,0.983,0.092
ROU,Romania,Europe & Central Asia,-0.007482063368488548,0.931,0.053,0.0,0.016,0.984,0.069
ARM,Armenia,Europe & Central Asia,-0.007418760149737347,0.922,0.065,0.0,0.013,0.987,0.078
TTO,Trinidad and Tobago,Latin America & Caribbean,-0.006813548192907926,0.757,0.16,0.0,0.083,0.917,0.243
ITA,Italy,Europe & Central Asia,-0.00680625127396496,0.932,0.056,0.0,0.012,0.988,0.068
EST,Estonia,Europe & Central Asia,-0.006574321989945865,0.951,0.04,0.0,0.009,0.991,0.049
JPN,Japan,East Asia & Pacific,-0.006269535511114123,0.974,0.024,0.0,0.002,0.998,0.026
SVK,Slovak Republic,Europe & Central Asia,-0.006239844192620449,0.938,0.047,0.0,0.015,0.985,0.062
GRC,Greece,Europe & Central Asia,-0.006193288999982038,0.942,0.045,0.0,0.013,0.987,0.058
GRD,Grenada,Latin America & Caribbean,-0.00607111451629852,0.757,0.149,0.0,0.094,0.906,0.243
THA,Thailand,East Asia & Pacific,-0.005962140571206362,0.963,0.029,0.0,0.008,0.992,0.037
CUW,Curacao,Latin America & Caribbean,-0.005680130328803184,0.757,0.133,0.0,0.11,0.89,0.243
PYF,French Polynesia,East Asia & Pacific,-0.0054058777820003255,0.918,0.061,0.0,0.021,0.979,0.082
URY,Uruguay,Latin America & Caribbean,-0.005404241861586746,0.809,0.097,0.0,0.094,0.906,0.191
MLT,Malta,Middle East & North Africa,-0.005327973317134469,0.952,0.036,0.0,0.012,0.988,0.048
CHL,Chile,Latin America & Caribbean,-0.005083739915792673,0.785,0.126,0.0,0.089,0.911,0.215
BRB,Barbados,Latin America & Caribbean,-0.0048962117038442885,0.802,0.093,0.0,0.105,0.895,0.198
ESP,Spain,Europe & Central Asia,-0.004854896588131024,0.95,0.032,0.0,0.018,0.982,0.05
ABW,Aruba,Latin America & Caribbean,-0.0047763584165992886,0.783,0.116,0.0,0.101,0.899,0.217
SGP,Singapore,East Asia & Pacific,-0.0044366776287386315,0.866,0.081,0.0,0.053,0.947,0.134
ATG,Antigua and Barbuda,Latin America & Caribbean,-0.004233240966693909,0.834,0.089,0.0,0.077,0.923,0.166
CRI,Costa Rica,Latin America & Caribbean,-0.004030228225040147,0.801,0.103,0.0,0.096,0.904,0.199
CZE,Czechia,Europe & Central Asia,-0.0035004899770982568,0.967,0.019,0.0,0.014,0.986,0.033
SVN,Slovenia,Europe & Central Asia,-0.003433895074012327,0.966,0.017,0.0,0.017,0.983,0.034
BRA,Brazil,Latin America & Caribbean,-0.0034289251557810554,0.802,0.081,0.0,0.117,0.883,0.198
HUN,Hungary,Europe & Central Asia,-0.0034211518103341013,0.965,0.019,0.0,0.016,0.984,0.035
GEO,Georgia,Europe & Central Asia,-0.0032717964605490477,0.974,0.017,0.0,0.009,0.991,0.026
CPV,Cabo Verde,Sub-Saharan Africa,-0.0030292318799192337,0.844,0.052,0.0,0.104,0.896,0.156
SLV,El Salvador,Latin America & Caribbean,-0.00292917107889958,0.819,0.058,0.0,0.123,0.877,0.181
AUT,Austria,Europe & Central Asia,-0.002752233678607425,0.974,0.014,0.0,0.012,0.988,0.026
FIN,Finland,Europe & Central Asia,-0.002625876639227528,0.979,0.016,0.0,0.005,0.995,0.021
