ISO3,Country,Region,g_pop,P_concordant_expansion,P_benign_divergence,P_reverse_divergence,P_concordant_contraction,P_pc_gain,P_agg_loss
HKG,"Hong Kong SAR, China",East Asia & Pacific,-0.016723485727895657,0.685,0.281,0.0,0.034,0.966,0.315
PRI,Puerto Rico,Latin America & Caribbean,-0.015534709786481343,0.433,0.413,0.0,0.154,0.846,0.567
JAM,Jamaica,Latin America & Caribbean,-0.01287992599919606,0.576,0.293,0.0,0.131,0.869,0.424
UKR,Ukraine,Europe & Central Asia,-0.012010216119313008,0.869,0.125,0.0,0.006,0.994,0.131
KOR,"Korea, Rep.",East Asia & Pacific,-0.011337531152025314,0.83,0.138,0.0,0.032,0.968,0.17
LTU,Lithuania,Europe & Central Asia,-0.011328758806588863,0.913,0.076,0.0,0.011,0.989,0.087
ALB,Albania,Europe & Central Asia,-0.011275444333749354,0.882,0.096,0.0,0.022,0.978,0.118
BIH,Bosnia and Herzegovina,Europe & Central Asia,-0.01104858977459326,0.932,0.063,0.0,0.005,0.995,0.068
CHN,China,East Asia & Pacific,-0.010616872011163906,0.89,0.09,0.0,0.02,0.98,0.11
MUS,Mauritius,Sub-Saharan Africa,-0.010285656215698573,0.632,0.243,0.0,0.125,0.875,0.368
MAC,"Macao SAR, China",East Asia & Pacific,-0.010223542568706877,0.851,0.116,0.0,0.033,0.967,0.149
MKD,North Macedonia,Europe & Central Asia,-0.009839901273051512,0.906,0.081,0.0,0.013,0.987,0.094
BLR,Belarus,Europe & Central Asia,-0.00964615004678089,0.907,0.082,0.0,0.011,0.989,0.093
MDA,Moldova,Europe & Central Asia,-0.009380962572578273,0.897,0.089,0.0,0.014,0.986,0.103
LVA,Latvia,Europe & Central Asia,-0.009269723766114691,0.927,0.061,0.0,0.012,0.988,0.073
POL,Poland,Europe & Central Asia,-0.009079289038166983,0.925,0.065,0.0,0.01,0.99,0.075
CUB,Cuba,Latin America & Caribbean,-0.008912554101729028,0.678,0.213,0.0,0.109,0.891,0.322
MNE,Montenegro,Europe & Central Asia,-0.008844018325903168,0.905,0.076,0.0,0.019,0.981,0.095
BGR,Bulgaria,Europe & Central Asia,-0.008540049704740624,0.945,0.05,0.0,0.005,0.995,0.055
HRV,Croatia,Europe & Central Asia,-0.007804624964414061,0.929,0.056,0.0,0.015,0.985,0.071
ROU,Romania,Europe & Central Asia,-0.007482063368488548,0.946,0.043,0.0,0.011,0.989,0.054
ARM,Armenia,Europe & Central Asia,-0.007418760149737347,0.926,0.063,0.0,0.011,0.989,0.074
TTO,Trinidad and Tobago,Latin America & Caribbean,-0.006813548192907926,0.745,0.173,0.0,0.082,0.918,0.255
ITA,Italy,Europe & Central Asia,-0.00680625127396496,0.94,0.048,0.0,0.012,0.988,0.06
EST,Estonia,Europe & Central Asia,-0.006574321989945865,0.963,0.029,0.0,0.008,0.992,0.037
