ISO3,Region,n_obs,beta_mean,hdi_lo,hdi_hi
KWT,Middle East & North Africa,10,0.3814072969082483,-0.14721765118749996,0.8955324444957129
JOR,Middle East & North Africa,8,0.7431760484056812,0.30169296390892164,1.1901053484677848
AND,Europe & Central Asia,10,0.7612820466987626,0.3091288510818911,1.1963541805454325
BRN,East Asia & Pacific,9,0.7745515435643263,0.19797230448799893,1.258810716852516
COD,Sub-Saharan Africa,12,0.7818558235837018,0.26739262823523857,1.2953545206303836
YEM,Middle East & North Africa,5,0.8088479141852202,0.27780800083443413,1.2752165386814627
SSD,Sub-Saharan Africa,1,0.811859849841889,0.193193513271108,1.370275456180261
ARE,Middle East & North Africa,10,0.8324356603936993,0.4479543739963336,1.2025004868226383
MDG,Sub-Saharan Africa,12,0.8412500119976286,0.3231540520821704,1.325219809057107
BHR,Middle East & North Africa,10,0.8644308001832062,0.43223987098289696,1.2823737126704438
ALB,Europe & Central Asia,8,0.8644308571488228,0.3104659643069224,1.4222139766931263
SLB,East Asia & Pacific,8,0.8680994274599965,0.32802208743883776,1.3529464734980885
NRU,East Asia & Pacific,10,0.8694889074824917,0.3131260838688659,1.4517618640103072
IRN,Middle East & North Africa,12,0.8701354769424503,0.3641689362607306,1.3591926944053898
SMR,Europe & Central Asia,4,0.8762905543884879,0.31431489600007323,1.4287134198339526
SDN,Sub-Saharan Africa,12,0.8862805470129318,0.3828418960586583,1.3614607654483355
DZA,Middle East & North Africa,12,0.888775205250939,0.3420079030288306,1.377486914722122
QAT,Middle East & North Africa,10,0.8940365863764841,0.5145428961991568,1.291078183941884
LTU,Europe & Central Asia,6,0.8975483950404534,0.3320074961371218,1.4254150657589957
TUV,East Asia & Pacific,10,0.9010550901558111,0.33867564453980825,1.4126153752973643
SAU,Middle East & North Africa,12,0.9017391458847204,0.47354353570686647,1.330116628247746
TKM,Europe & Central Asia,6,0.9058970650321598,0.3688740194753118,1.4326469310675867
BLR,Europe & Central Asia,6,0.9066142755590532,0.3298956282024479,1.4692206499456055
NER,Sub-Saharan Africa,12,0.906652494183346,0.43158183450212123,1.3849145437451476
PSE,Middle East & North Africa,5,0.9097291106877505,0.37931831387951376,1.4234957068112908
BGD,South Asia,12,0.9104807177279947,0.35360959453908747,1.4191712056458161
NPL,South Asia,12,0.9110386528452394,0.3241542210929915,1.4485428634191102
VUT,East Asia & Pacific,8,0.9126542506430496,0.3611961738002039,1.4053307974486766
TJK,Europe & Central Asia,7,0.9136787263710344,0.3789332114833335,1.4111170927258938
GNB,Sub-Saharan Africa,10,0.9156694074244796,0.4092905634034557,1.389981246943212
HTI,Latin America & Caribbean,12,0.9165119086165705,0.3393996170429866,1.4370875110953103
PYF,East Asia & Pacific,11,0.9165513404898744,0.38581646240655726,1.3967324081082202
CHI,Europe & Central Asia,2,0.9206170432095244,0.3336504410600053,1.4734851416850319
LUX,Europe & Central Asia,12,0.9213249256695578,0.38831867749709875,1.4450283407319315
ROU,Europe & Central Asia,6,0.9229624264730328,0.38344650674846575,1.4910299783999892
DJI,Middle East & North Africa,1,0.9292690151190941,0.3871208480480115,1.494437608699167
