ISO3,Region,n_obs,beta_growth,growth_hdi_lo,growth_hdi_hi,beta_decline,decline_hdi_lo,decline_hdi_hi
KWT,Middle East & North Africa,5,0.3553992961214995,-0.11802809560297416,0.8497753327663825,0.30942812982475615,-1.0068817220985466,1.7183974549895096
BRN,East Asia & Pacific,4,0.4200498672715701,-0.18735939357161466,0.9545379005964922,0.3031761112684287,-1.0466259932019482,1.617705865176809
LBY,Middle East & North Africa,6,0.5839239961254481,0.13093600403552422,1.035041230211531,0.5379528298287072,-0.8504748032653,1.8301236660506321
JOR,Middle East & North Africa,4,0.5867704369463096,0.155203530063385,0.9832410208633474,0.5407992706495636,-0.7885310135175019,1.8994378707000694
PYF,East Asia & Pacific,5,0.6018065598089724,0.07740289785135146,1.0799603038287786,0.4849328038058339,-0.795122810509065,1.81885550158243
COD,Sub-Saharan Africa,6,0.6046899123860708,0.10863602626280139,1.1078797776789373,0.5082053359908871,-0.8650924499484924,1.8992770282108538
SLB,East Asia & Pacific,4,0.6267890621869919,0.12588469096369376,1.0929222630060829,0.5099153061838515,-0.8010620120954356,1.7872122668178174
MDG,Sub-Saharan Africa,6,0.6276375698484,0.11494288032516443,1.0662526191043649,0.5311529934532112,-0.760586677984087,2.027084501520677
KIR,East Asia & Pacific,5,0.6403952481642707,0.10522989297249268,1.152998036080007,0.5235214921611278,-0.8396580426541311,1.7539589455314817
ARE,Middle East & North Africa,5,0.6432454735936931,0.26599820141551744,1.0003867961587585,0.5972743072969454,-0.75685953172863,1.935349457012694
DZA,Middle East & North Africa,6,0.6454848440368992,0.16744782064832855,1.1115062688549755,0.5995136777401577,-0.730400814778841,1.9639600224785894
IRN,Middle East & North Africa,6,0.6543867772587635,0.21028974849240614,1.1338377177214676,0.608415610962018,-0.6994471061590182,2.014893347319567
LBR,Sub-Saharan Africa,6,0.6558381541040648,0.1345228724690054,1.1362164567205293,0.5593535777088763,-0.7925943514706562,1.9858971278181277
VUT,East Asia & Pacific,4,0.6601911579255384,0.16349110225457522,1.1502698082301885,0.5433174019223975,-0.7982946835073785,1.776343403737358
BHR,Middle East & North Africa,5,0.6638620941546386,0.25196058879171296,1.0430609397012232,0.6178909278578965,-0.7059362895563468,1.9518788464734043
PSE,Middle East & North Africa,2,0.6654558218670026,0.13192062494006387,1.1718630689288148,0.619484655570258,-0.7912310442104068,1.9509885083614757
SAU,Middle East & North Africa,6,0.6708626120063922,0.27057712256597255,1.0757105182526254,0.6248914457096483,-0.7758918011512208,1.8988742759187383
FJI,East Asia & Pacific,6,0.6786402337440727,0.176417502531111,1.164648698217568,0.5617664777409317,-0.7030291359752382,1.886053903385248
HTI,Latin America & Caribbean,6,0.6791374904228664,0.1269314938926298,1.1796892564142487,0.6072326499576503,-0.7410774487347621,1.9429011906939793
PNG,East Asia & Pacific,6,0.6841184790402384,0.22285848146093837,1.1276387093713987,0.5672447230370974,-0.6690820270296018,1.879682115225528
VEN,Latin America & Caribbean,6,0.6896052042470936,0.1817358444847076,1.1575825505997084,0.6177003637818743,-0.7414490114864387,1.9140829238987374
CAF,Sub-Saharan Africa,6,0.6900973596211373,0.1553446763600992,1.2057030765149406,0.5936127832259505,-0.8535122700957489,1.93238021729207
SDN,Sub-Saharan Africa,6,0.691040816932296,0.24692225097210713,1.165323589628826,0.594556240537108,-0.7858005862335995,1.974288867683212
NIC,Latin America & Caribbean,6,0.69386128299825,0.20494057478657882,1.1547005285750078,0.6219564425330341,-0.6782209401481102,1.9622423919136827
NER,Sub-Saharan Africa,6,0.7065452162238132,0.24010974545160121,1.1385345884518223,0.6100606398286254,-0.7556073019250862,2.02776452605526
WSM,East Asia & Pacific,5,0.7071930608879655,0.20459406579921954,1.2723864611637743,0.590319304884824,-0.7624657138242311,1.9035799758703011
NZL,East Asia & Pacific,6,0.7091167296534625,0.16220388164670507,1.23528345602551,0.5922429736503235,-0.7177997284635724,1.8861094174441235
JAM,Latin America & Caribbean,5,0.7093534276445115,0.15084908269982436,1.205973292674568,0.6374485871792953,-0.6374959036815009,2.041493958505286
ERI,Sub-Saharan Africa,1,0.7170651261114711,0.17869657145182283,1.2493487323580938,0.6205805497162858,-0.800976645674214,2.013490270728733
PHL,East Asia & Pacific,6,0.7191891614452793,0.23517583228360003,1.1749564965503196,0.6023154054421399,-0.6067791153826321,1.9352787374058482
BIH,Europe & Central Asia,3,0.7208347365836447,0.16787813760455858,1.2970975074755489,0.5691080668806406,-0.535357129340513,1.6556424005203136
MRT,Sub-Saharan Africa,5,0.7338376918122475,0.25296469533382565,1.2221927162141026,0.6373531154170632,-0.7365035021316947,2.0087865763204933
QAT,Middle East & North Africa,5,0.7369066691351295,0.38289828979430734,1.1208631247259955,0.6909355028383841,-0.6412804714780008,2.020288108251147
OMN,Middle East & North Africa,6,0.7379927115325807,0.3061205685423229,1.1098889479542613,0.692021545235837,-0.6755002773732994,1.9957674941944266
BDI,Sub-Saharan Africa,6,0.7385278569083457,0.26544785973773466,1.243317868548266,0.6420432805131607,-0.7771323564155,1.9736540114940349
AUS,East Asia & Pacific,6,0.7428800813751,0.20376930918883335,1.249395969069319,0.6260063253719605,-0.6455849125421445,1.9190858084828517
SLV,Latin America & Caribbean,5,0.7434532188108707,0.2074637149369597,1.2590882095750726,0.6715483783456544,-0.6485388824896978,2.0155070733585436
NPL,South Asia,6,0.7445011711649018,0.19747733622331592,1.2567864141478124,0.6456694733244716,-0.7044383332401725,2.0281665899264514
BGD,South Asia,6,0.7451727579118411,0.15937331125441034,1.2317285728527643,0.6463410600714145,-0.8366801168341653,1.9681857715693183
ZMB,Sub-Saharan Africa,6,0.7507401877937971,0.2817547315838568,1.185936505533263,0.6542556113986108,-0.721068081076315,2.0130778475869358
MAR,Middle East & North Africa,5,0.7524114271367481,0.23786574608224584,1.2516732281215652,0.7064402608400043,-0.7063040270086001,1.9696939365574577
