ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
USA,United States,North America,22407441124938.156,64868.89835969844,345426571.0,37140482537633.06,97520.76638256843,380846910.0,57449919087858.56,142587.41616269076,402910163.0,87860339298307.16,208556.23576786244,421278889.0,0.017978360573313878,0.015366321526068283,0.0026120390472455907,3.903127820947816e-18,24977304336496.535,316880562430037.0,0.7768988331304792,0.7132512799916437,0.20308346950776485,1,6,1,7,1,11,1,17
CHN,China,East Asia & Pacific,18117493111934.734,12764.899246395104,1419321278.0,28902672392274.97,22933.367076497398,1260289093.0,39149793920724.73,41895.33516447203,934466660.0,50060584746093.09,79038.68811610523,633368113.0,0.01337310559246661,0.023989977603630513,-0.010616872011163906,3.469446951953614e-18,8586048447102.745,209947005958028.25,1.0294165857094026,0.945233973032093,0.2907919427979017,2,61,2,55,2,52,2,47
IND,India,South Asia,3357071373677.7056,2313.7284189288466,1450935791.0,7643553435817.412,4550.846818565784,1679589259.0,14021351036727.592,8391.69556520915,1670860308.0,24542263465139.496,16304.424350139987,1505251761.0,0.026175364366467512,0.02569179270995699,0.00048357165651052484,-3.198396408832238e-18,5395309293393.29,99943727989308.45,0.8371570288195821,0.7681059153952449,0.2788064973401978,6,127,3,121,3,119,3,111
JPN,Japan,East Asia & Pacific,4722979230328.149,38164.550884274024,123753041.0,7111656395744.029,67650.7053458923,105123167.0,10775973515187.586,123361.44737845847,87352846.0,16582560640620.988,215789.54030536307,76845989.0,0.016525155078557254,0.022794690589671377,-0.006269535511114123,0.0,4509611802398.86,62275941375741.125,0.8919038276854804,0.8077212150081707,0.26229392464775425,3,25,4,24,4,20,4,14
GBR,United Kingdom,Europe & Central Asia,3358320134230.5713,48574.02308452861,69138192.0,5920770276989.969,78415.93658265994,75504681.0,9791248708248.166,128755.0836912187,76045531.0,15581692169751.531,209697.94743146675,74305411.0,0.020192838911940635,0.01924446402850799,0.0009483748834326445,3.2526065174565133e-19,4587416720345.286,51663582441465.24,0.8117868707228609,0.6960137325344129,0.22596089457647617,5,14,5,15,5,17,5,16
DEU,Germany,Europe & Central Asia,3780554737669.55,44712.64922424588,84552242.0,5775491715196.949,73766.1442326428,78294613.0,9292505450930.496,127576.89842764392,72838465.0,14318869077562.812,201959.0514238767,70899863.0,0.017522466164765185,0.019839585778051422,-0.002317119613286237,0.0,3830417087262.8228,46416676296092.83,0.8280131217040536,0.7122399835156057,0.2277316061080636,4,21,6,19,6,18,6,18
FRA,France,Europe & Central Asia,2750708953977.2734,41333.8800117339,66548530.0,4638691625879.4,67996.38998396577,68219675.0,7637835409662.58,112615.46425977423,67822261.0,13053248863730.016,190601.34495910766,68484558.0,0.02048918918368353,0.020111862430316176,0.00037732675336735666,-1.3010426069826053e-18,3526972929496.942,40542577527825.125,0.8318117561730772,0.7160386179846292,0.2289574190002998,7,23,7,23,7,23,7,21
AUS,Australia,East Asia & Pacific,1691728150227.4258,63329.28415843123,26713205.0,3300461296544.038,101530.88393273571,32506969.0,6017388557822.642,159783.71927950458,37659585.0,10787869526363.006,250045.15785712338,43143685.0,0.024377259609376093,0.018069653761459446,0.006307605847916645,2.6020852139652106e-18,3382423495145.293,33326651271914.703,0.7703448395116674,0.6861622268343578,0.25156210193022643,12,7,8,5,8,5,8,8
CAN,Canada,North America,1842174660226.0637,46352.84405674398,39742430.0,3154332730666.0815,69140.78491251373,45621882.0,5283514823068.457,106390.49842924604,49661529.0,8810053770549.713,164329.16730441997,53612234.0,0.02059140511810591,0.016652485307731238,0.003938919810374673,0.0,1912495116093.8083,28988739135076.54,0.766089860853697,0.7024423077148616,0.19938589879725965,11,16,9,22,9,24,9,27
IDN,Indonesia,East Asia & Pacific,1209995527936.7083,4268.243532161898,283487931.0,2546058414455.575,7938.745293554003,320712949.0,4655888105998.112,14655.62741724112,317686031.0,7879972192853.881,26665.574432944428,295511061.0,0.024654048833633785,0.02410751308646737,0.0005465357471664174,-1.0842021724855044e-18,1931565880695.9453,28871862310854.68,0.8639737322797375,0.7797911196024279,0.2608247863715061,16,106,13,101,10,90,10,84
RUS,Russian Federation,Europe & Central Asia,1580293378849.8423,10912.089235161551,144820423.0,2526327372917.1235,18557.818812678455,136132775.0,4299591270633.7744,33445.78385217517,128554059.0,6914194127325.986,54706.7393014673,126386515.0,0.019420604025175495,0.021212047734764716,-0.001791443709589219,-1.951563910473908e-18,1790554802388.0117,23671484709053.11,0.8132260173840459,0.6974528791955978,0.2224143042481382,13,67,14,66,12,60,11,59
ITA,Italy,Europe & Central Asia,2065819238301.8225,34811.58465602652,59342867.0,2929258743488.26,56450.11957615813,51891099.0,4398287919314.223,105622.15576543644,41641717.0,6189629665663.723,174962.85677177503,35376821.0,0.014438794523125853,0.021245045797090814,-0.00680625127396496,-8.673617379884035e-19,1568363061743.452,21484307927897.754,0.8354669024284832,0.7196937642400351,0.22571379021565552,8,28,10,28,11,25,12,24
SAU,Saudi Arabia,Middle East & North Africa,882049258123.073,25971.073494506734,33962757.0,1806083616919.0615,37868.22294332885,47693910.0,3306284398161.7305,55348.02405402578,59736268.0,5916952632524.684,83329.50926912215,71006690.0,0.025043801771917635,0.015339728665851968,0.009704073106065669,-1.734723475976807e-18,1340580728715.8933,18932398718971.56,0.6880581036075057,0.6816748650586268,0.2075287120628472,18,34,17,35,14,41,13,45
PAK,Pakistan,South Asia,409515052040.8539,1629.7863435437462,251269164.0,1205896487486.291,3242.8445849964505,371863793.0,2800251960351.091,6000.134374527298,466698208.0,5616773595197.371,10991.715855806207,511000618.0,0.03445446085412715,0.02511438100537807,0.009340079848749076,3.469446951953614e-18,1325802122863.9216,21284603675279.13,0.7964097137694981,0.7273586003451608,0.2751378034548318,34,138,19,133,18,130,14,126
ESP,Spain,Europe & Central Asia,1412924704033.5063,29490.903607142747,47910526.0,2113003633082.1533,47030.30159753076,44928558.0,3283731221057.3555,87229.75677793645,37644622.0,4948458705598.834,149376.25815037393,33127478.000000004,0.01649229396343649,0.02134719055156751,-0.004854896588131024,3.469446951953614e-18,1224676739365.5269,18084429506877.883,0.839647418406305,0.7238742802178569,0.23208998360197328,14,31,16,29,15,28,15,28
