ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
USA,United States,North America,22407441124938.156,64868.89835969844,345426571.0,37203102290194.36,97685.18875522545,380846910.0,57868474236583.21,143626.24612321635,402910163.0,88138747764288.83,209217.10075125276,421278889.0,0.018019988884073235,0.015407949836827644,0.0026120390472455907,4.336808689942018e-19,24915336373267.785,321774425689060.8,0.9200000000000002,0.9200000000000002,0.20308346950776485,1,6,1,7,1,10,1,13
CHN,China,East Asia & Pacific,18117493111934.734,12764.899246395104,1419321278.0,29102537967412.18,23091.954162783648,1260289093.0,40551444127138.37,43395.28188960574,934466660.0,51790509339825.0,81769.99801034348,633368113.0,0.013820118069585087,0.024436990080748996,-0.010616872011163906,-3.469446951953614e-18,13270484681811.6,157760195112271.7,0.9200000000000002,0.9200000000000002,0.2907919427979017,2,61,2,55,2,50,2,47
IND,India,South Asia,3357071373677.7056,2313.7284189288466,1450935791.0,7720820766040.492,4596.850524417704,1679589259.0,13968363209482.033,8359.982664380841,1670860308.0,23567970119310.797,15657.161632319656,1505251761.0,0.02564236332826866,0.025158791671758135,0.00048357165651052484,2.710505431213761e-19,5623704511978.973,95647075510161.19,0.9200000000000002,0.9200000000000002,0.2788064973401978,6,127,3,125,3,121,3,112
JPN,Japan,East Asia & Pacific,4722979230328.149,38164.550884274024,123753041.0,6906397211054.092,65698.14635677873,105123167.0,10324507511200.875,118193.1440585333,87352846.0,15606453367069.762,203087.4164046449,76845989.0,0.01572690411507498,0.021996439626189104,-0.006269535511114123,0.0,4607206559381.864,50314686757349.2,0.9200000000000002,0.9200000000000002,0.26229392464775425,3,25,4,24,4,22,4,18
GBR,United Kingdom,Europe & Central Asia,3358320134230.5713,48574.02308452861,69138192.0,5938732610526.039,78653.83353551337,75504681.0,9768281781841.113,128453.06822620665,76045531.0,15456679800430.256,208015.5347021801,74305411.0,0.020086846980882152,0.019138472097449507,0.0009483748834326445,3.2526065174565133e-19,4458551388761.184,51687339809722.62,0.9200000000000002,0.9200000000000002,0.22596089457647617,5,14,5,14,5,15,5,15
DEU,Germany,Europe & Central Asia,3780554737669.55,44712.64922424588,84552242.0,5543741375091.365,70806.1661290971,78294613.0,8762355059549.572,120298.45850745993,72838465.0,13416863542458.816,189236.8049069265,70899863.0,0.01666633729210214,0.01898345690538838,-0.002317119613286237,-3.469446951953614e-18,3821566536115.469,42842622862111.52,0.9200000000000002,0.9200000000000002,0.2277316061080636,4,21,6,21,6,21,6,21
FRA,France,Europe & Central Asia,2750708953977.2734,41333.8800117339,66548530.0,4608086077594.898,67547.75770472226,68219675.0,7571830079609.91,111642.25385541054,67822261.0,12781272488207.965,186629.99165750568,68484558.0,0.020212135958032142,0.01983480920466478,0.00037732675336735666,5.637851296924623e-18,3476079331058.9624,39298184723768.0,0.9200000000000002,0.9200000000000002,0.2289574190002998,7,23,7,23,7,23,7,23
AUS,Australia,East Asia & Pacific,1691728150227.4258,63329.28415843123,26713205.0,3350380170316.1943,103066.51999194986,32506969.0,6226975933287.122,165349.0322128383,37659585.0,11116814902137.508,257669.5732443232,43143685.0,0.024772476810110893,0.018464870962194246,0.006307605847916645,2.6020852139652106e-18,3492454947154.9478,35041401150695.0,0.9200000000000002,0.9200000000000002,0.25156210193022643,12,7,8,5,8,5,8,4
CAN,Canada,North America,1842174660226.0637,46352.84405674398,39742430.0,3195114129831.8154,70034.6848872174,45621882.0,5401610016096.159,108768.499981065,49661529.0,9054326545043.756,168885.45523105335,53612234.0,0.020951262637371054,0.01701234282699638,0.003938919810374673,0.0,1896444187237.44,29636051417308.996,0.9200000000000002,0.9200000000000002,0.19938589879725965,11,16,9,22,9,25,9,25
IDN,Indonesia,East Asia & Pacific,1209995527936.7083,4268.243532161898,283487931.0,2546284590459.92,7939.450522342083,320712949.0,4648312077944.814,14631.77988441303,317686031.0,7633471771637.9,25831.42487393357,295511061.0,0.024235869658793645,0.023689333911627225,0.0005465357471664174,2.3852447794681098e-18,1875753269347.5857,28648304514128.734,0.9200000000000002,0.9200000000000002,0.2608247863715061,16,106,13,101,10,87,10,84
RUS,Russian Federation,Europe & Central Asia,1580293378849.8423,10912.089235161551,144820423.0,2454883308755.6333,18033.007178143787,136132775.0,4099940524563.0283,31892.734904333345,128554059.0,6655970495551.657,52663.61285103602,126386515.0,0.01891978629119875,0.020711230000787968,-0.001791443709589219,1.5178830414797062e-18,1667601884584.5105,22147709410527.54,0.9200000000000002,0.9200000000000002,0.2224143042481382,13,67,14,66,11,60,11,57
SAU,Saudi Arabia,Middle East & North Africa,882049258123.073,25971.073494506734,33962757.0,1926061901724.5,40383.81214130903,47693910.0,3629141342293.0444,60752.72968664605,59736268.0,6548836503256.227,92228.44359110708,71006690.0,0.026378878646060266,0.0166748055399946,0.009704073106065669,-1.734723475976807e-18,1390505569439.743,21695805762227.367,0.9200000000000002,0.9200000000000002,0.2075287120628472,18,34,17,34,13,33,12,40
