ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
USA,United States,North America,22407441124938.156,64868.89835969844,345426571.0,39270760100658.2,103114.2936164513,380846910.0,64682823076732.734,160539.07053402555,402910163.0,109634307287917.39,260241.63600544765,421278889.0,0.020891542782339748,0.018279503735094155,0.0026120390472455907,2.168404344971009e-18,20433174094877.695,541992104696056.3,0.7768988331304792,0.7132512799916437,0.20308346950776485,1,6,1,7,1,12,1,14
CHN,China,East Asia & Pacific,18117493111934.734,12764.899246395104,1419321278.0,29453584112891.984,23370.49830589305,1260289093.0,41790727826917.625,44721.47548519026,934466660.0,56364538169396.25,88991.75220934472,633368113.0,0.014933713987890288,0.025550585999054187,-0.010616872011163906,6.938893903907228e-18,8586048447102.745,475673839573302.44,1.0294165857094026,0.945233973032093,0.2907919427979017,2,61,2,55,2,50,2,45
IND,India,South Asia,3357071373677.7056,2313.7284189288466,1450935791.0,7726423230290.029,4600.186140086545,1679589259.0,14398890979007.143,8617.650984984164,1670860308.0,26536100844842.402,17629.011659294385,1505251761.0,0.027203120039731177,0.02671954838322066,0.00048357165651052484,-6.667843360785852e-18,5395939153819.344,148690317008316.12,0.8371570288195821,0.7681059153952449,0.2788064973401978,6,127,3,121,3,119,3,106
JPN,Japan,East Asia & Pacific,4722979230328.149,38164.550884274024,123753041.0,7475142958810.037,71108.42616461543,105123167.0,12583552294343.514,144054.29096544278,87352846.0,21559756974095.375,280557.9998989326,76845989.0,0.01997879842840268,0.026248333939516803,-0.006269535511114123,0.0,4509568354175.687,124584795652702.17,0.8919038276854804,0.8077212150081707,0.26229392464775425,3,25,4,22,4,15,4,11
GBR,United Kingdom,Europe & Central Asia,3358320134230.5713,48574.02308452861,69138192.0,6048543049399.134,80108.18626462555,75504681.0,10460971460091.68,137561.9490393417,76045531.0,17799969954493.35,239551.46354675773,74305411.0,0.02194415632162913,0.020995781438196484,0.0009483748834326445,3.2526065174565133e-19,4688930509431.438,86273028327177.7,0.8117868707228609,0.6960137325344129,0.22596089457647617,5,14,5,17,5,19,5,19
DEU,Germany,Europe & Central Asia,3780554737669.55,44712.64922424588,84552242.0,5914146027899.683,75537.07466310207,78294613.0,10116114673239.047,138884.23751432772,72838465.0,16499432536997.309,232714.5898292823,70899863.0,0.019387568865221978,0.021704688478508215,-0.002317119613286237,0.0,3830417087262.8228,69404481018068.64,0.8280131217040536,0.7122399835156057,0.2277316061080636,4,21,6,20,6,18,6,21
FRA,France,Europe & Central Asia,2750708953977.2734,41333.8800117339,66548530.0,4725343132120.937,69266.57349395078,68219675.0,8303723441569.463,122433.5980419388,67822261.0,14701648141458.275,214670.99402843887,68484558.0,0.022053959553509944,0.021676632800142585,0.00037732675336735666,2.168404344971009e-18,3609020198612.434,61285934748261.38,0.8318117561730772,0.7160386179846292,0.2289574190002998,7,23,7,24,7,22,7,22
AUS,Australia,East Asia & Pacific,1691728150227.4258,63329.28415843123,26713205.0,3641381342904.1704,112018.48264918732,32506969.0,7325044113782.889,194506.76670448942,37659585.0,14330668543116.645,332161.4401532147,43143685.0,0.028113833073463004,0.02180622722554636,0.006307605847916645,-8.673617379884035e-19,3521929475585.3247,64941395704950.63,0.7703448395116674,0.6861622268343578,0.25156210193022643,12,7,8,6,8,6,8,8
CAN,Canada,North America,1842174660226.0637,46352.84405674398,39742430.0,3201565616652.751,70176.09700215241,45621882.0,5412293874846.149,108983.63348510976,49661529.0,9240405022777.854,172356.2764196294,53612234.0,0.021218933737096973,0.017280013926722303,0.003938919810374673,-3.469446951953614e-18,1912549898535.5137,42130311018911.53,0.766089860853697,0.7024423077148616,0.19938589879725965,11,16,9,23,9,26,9,27
IDN,Indonesia,East Asia & Pacific,1209995527936.7083,4268.243532161898,283487931.0,2564170250843.5312,7995.218960876853,320712949.0,4800317464670.787,15110.25665673914,317686031.0,8316927928296.143,28144.218697438682,295511061.0,0.02536416162602951,0.024817625878863093,0.0005465357471664174,-1.0842021724855044e-18,1932007350148.8745,41275171198620.234,0.8639737322797375,0.7797911196024279,0.2608247863715061,16,106,13,101,10,90,10,81
