ISO3,Country,Region,GDP_2024,GDPpc_2024,Pop_2024,GDP_2050,GDPpc_2050,Pop_2050,GDP_2075,GDPpc_2075,Pop_2075,GDP_2100,GDPpc_2100,Pop_2100,g_agg,g_pc,g_pop,identity_residual,GDP_2100_lo,GDP_2100_hi,beta_expansion,beta_contraction,alpha_decadal,rank_agg_2024,rank_pc_2024,rank_agg_2050,rank_pc_2050,rank_agg_2075,rank_pc_2075,rank_agg_2100,rank_pc_2100
USA,United States,North America,22407441124938.156,64868.89835969844,345426571.0,34803137760152.637,91383.53718073395,380846910.0,50572785513250.84,125518.76362883118,402910163.0,72656910094098.47,172467.48410908022,421278889.0,0.01547836057331395,0.012866321526068359,0.0026120390472455907,4.336808689942018e-19,20655209962349.008,262047275470624.0,0.7768988331304792,0.7132512799916437,0.20308346950776485,1,6,1,8,1,13,1,19
CHN,China,East Asia & Pacific,18117493111934.734,12764.899246395104,1419321278.0,28741805352984.906,22805.724109353145,1260289093.0,37895559567535.78,40553.14243906335,934466660.0,46511659421304.11,73435.42951822728,633368113.0,0.012405593152547474,0.02302246516371138,-0.010616872011163906,0.0,8586048447102.745,189191100508466.1,1.0294165857094026,0.945233973032093,0.2907919427979017,2,61,2,55,2,52,2,48
IND,India,South Asia,3357071373677.7056,2313.7284189288466,1450935791.0,7608606901697.082,4530.040223183567,1679589259.0,13796421352151.371,8257.076480957001,1670860308.0,23557822733242.84,15650.420310813934,1505251761.0,0.02563669686700752,0.025153125210496993,0.00048357165651052484,2.710505431213761e-19,5394965579408.985,91795777878096.28,0.8371570288195821,0.7681059153952449,0.2788064973401978,6,127,3,121,3,120,3,112
JPN,Japan,East Asia & Pacific,4722979230328.149,38164.550884274024,123753041.0,6968302861139.408,66287.03320115354,105123167.0,10008192210778.191,114572.02219579877,87352846.0,14581825779047.227,189753.89566587823,76845989.0,0.014833370398627938,0.021102905909742058,-0.006269535511114123,3.469446951953614e-18,4508878768912.74,52850539833689.47,0.8919038276854804,0.8077212150081707,0.26229392464775425,3,25,4,24,4,20,4,15
GBR,United Kingdom,Europe & Central Asia,3358320134230.5713,48574.02308452861,69138192.0,5805261142042.503,76886.10911477797,75504681.0,9191355912223.723,120866.48342587972,76045531.0,13935657747569.578,187545.6653832327,74305411.0,0.018723815421503743,0.0177754405380711,0.0009483748834326445,-3.144186300207963e-18,4457205445101.953,43265480376493.7,0.8117868707228609,0.6960137325344129,0.22596089457647617,5,14,5,15,5,16,5,16
DEU,Germany,Europe & Central Asia,3780554737669.55,44712.64922424588,84552242.0,5692549550160.69,72706.784439444,78294613.0,8722085374938.077,119745.59561267632,72838465.0,12716848576365.926,179363.51409262844,70899863.0,0.015961276564796702,0.01827839617808294,-0.002317119613286237,0.0,3830398929015.296,38772803230276.02,0.8280131217040536,0.7122399835156057,0.2277316061080636,4,21,6,19,6,17,6,18
FRA,France,Europe & Central Asia,2750708953977.2734,41333.8800117339,66548530.0,4578580747516.543,67115.25300459938,68219675.0,7241206997395.723,106767.40778954158,67822261.0,11633674512516.514,169872.95898903973,68484558.0,0.01897427878860561,0.01859695203523825,0.00037732675336735666,2.168404344971009e-18,3532162634735.623,34724591222106.746,0.8318117561730772,0.7160386179846292,0.2289574190002998,7,23,7,23,7,23,7,20
AUS,Australia,East Asia & Pacific,1691728150227.4258,63329.28415843123,26713205.0,3158379754632.495,97160.0814161571,32506969.0,5560734108958.947,147657.87007368635,37659585.0,9361239544288.756,216978.21000428582,43143685.0,0.0225108833040198,0.01620327745610316,0.006307605847916645,-4.336808689942018e-18,3314380717077.3604,27782096221978.75,0.7703448395116674,0.6861622268343578,0.25156210193022643,12,7,8,5,8,5,8,8
CAN,Canada,North America,1842174660226.0637,46352.84405674398,39742430.0,3114309797270.885,68263.50998126042,45621882.0,5114171333879.115,102980.54524014183,49661529.0,8305407297605.555,154916.2696261744,53612234.0,0.019815263552792273,0.0158763437424176,0.003938919810374673,0.0,1912431776438.677,24835030608841.918,0.766089860853697,0.7024423077148616,0.19938589879725965,11,16,9,22,9,24,9,26
IDN,Indonesia,East Asia & Pacific,1209995527936.7083,4268.243532161898,283487931.0,2531777198603.299,7894.215704409549,320712949.0,4556745815497.862,14343.551087702255,317686031.0,7567370048920.199,25607.738753711827,295511061.0,0.02412143323452961,0.023574897487363192,0.0005465357471664174,-1.0842021724855044e-18,1928426785168.3965,26882920712043.82,0.8639737322797375,0.7797911196024279,0.2608247863715061,16,106,13,101,10,90,10,84
