ISO3,Country,Year,Population,GDP_median,GDPpc_median,population_falls_2024_2100
BRA,Brazil,2024,211998573.0,1991068635861.1792,9391.89640611958,True
BRA,Brazil,2025,212812405.0,2020623772637.2815,9494.858970449968,True
BRA,Brazil,2026,213562666.0,2052591683548.161,9611.191515787506,True
BRA,Brazil,2027,214261025.0,2096055302103.1755,9782.71854203617,True
BRA,Brazil,2028,214911373.0,2127007089973.48,9897.13601603336,True
BRA,Brazil,2029,215515171.0,2148276201823.7207,9968.097335587205,True
BRA,Brazil,2030,216074411.0,2195323159297.908,10160.033060545553,True
BRA,Brazil,2031,216587350.0,2212816477973.084,10216.739241571977,True
BRA,Brazil,2032,217055384.0,2231311527463.876,10279.91790087951,True
BRA,Brazil,2033,217479384.0,2253031295522.455,10359.7465381935,True
BRA,Brazil,2034,217860883.0,2289892068224.614,10510.79953726532,True
BRA,Brazil,2035,218199707.0,2324252473050.522,10651.950476956974,True
BRA,Brazil,2036,218495204.0,2367024022849.5645,10833.299676681068,True
BRA,Brazil,2037,218747241.0,2401150587859.218,10976.826847654816,True
BRA,Brazil,2038,218955562.0,2422520018258.0547,11063.98027129384,True
BRA,Brazil,2039,219118373.0,2439866465555.8926,11134.92416063117,True
BRA,Brazil,2040,219237084.0,2454551660582.7056,11195.878068615006,True
BRA,Brazil,2041,219307149.0,2483907553872.2773,11326.158609960668,True
BRA,Brazil,2042,219319761.0,2517202675678.827,11477.318159574445,True
BRA,Brazil,2043,219276520.0,2554105968667.9946,11647.87715833868,True
BRA,Brazil,2044,219178995.0,2599360831406.7754,11859.534402038733,True
BRA,Brazil,2045,219026196.0,2650249591470.786,12100.148931367032,True
BRA,Brazil,2046,218821033.0,2644878218537.112,12086.946955127078,True
BRA,Brazil,2047,218565368.0,2679847765757.9307,12261.081388511337,True
BRA,Brazil,2048,218258220.0,2682677779657.7847,12291.302383286113,True
BRA,Brazil,2049,217897826.0,2745998849247.7324,12602.231512157134,True
BRA,Brazil,2050,217489299.0,2768654738510.451,12730.073393222216,True
BRA,Brazil,2051,217040324.0,2818132989211.8506,12984.375148702093,True
BRA,Brazil,2052,216546444.0,2847556350707.176,13149.86428826869,True
BRA,Brazil,2053,216005325.0,2884341379985.7383,13353.103123664836,True
BRA,Brazil,2054,215419906.0,2894265052335.9404,13435.457781398998,True
BRA,Brazil,2055,214791954.0,2885030257638.3867,13431.74268826842,True
BRA,Brazil,2056,214123891.0,2921447499425.16,13643.725068610678,True
BRA,Brazil,2057,213414291.0,2984664902615.2856,13985.309459033771,True
BRA,Brazil,2058,212663000.0,2978971862377.8936,14007.946198341477,True
BRA,Brazil,2059,211870766.0,3037199703941.727,14335.15232555362,True
BRA,Brazil,2060,211038801.0,3053711177709.294,14469.903938230267,True
BRA,Brazil,2061,210170464.0,3081702169721.251,14662.869896510536,True
BRA,Brazil,2062,209264207.0,3098622113351.908,14807.224597907029,True
BRA,Brazil,2063,208321481.0,3085097647215.9355,14809.311226123318,True
BRA,Brazil,2064,207347940.0,3105417960293.329,14976.845008893404,True
BRA,Brazil,2065,206343441.0,3121643564474.3945,15128.38764995876,True
BRA,Brazil,2066,205306679.0,3123089376637.461,15211.825508304388,True
BRA,Brazil,2067,204242532.0,3096905238234.154,15162.881148742094,True
BRA,Brazil,2068,203151117.0,3130421269930.418,15409.323444332418,True
BRA,Brazil,2069,202033245.0,3155924838118.036,15620.819425624908,True
BRA,Brazil,2070,200893056.0,3169179475514.841,15775.455551409606,True
BRA,Brazil,2071,199730068.0,3156813213101.2104,15805.39797894231,True
BRA,Brazil,2072,198546036.0,3196831306693.233,16101.20942778849,True
BRA,Brazil,2073,197343262.0,3200610445275.7773,16218.493668538718,True
BRA,Brazil,2074,196125080.0,3222775880771.617,16432.247628766385,True
BRA,Brazil,2075,194895910.0,3262338194157.9844,16738.87458263226,True
BRA,Brazil,2076,193656035.0,3267268590747.91,16871.504111647802,True
BRA,Brazil,2077,192404845.0,3335150850007.3,17334.027373413075,True
BRA,Brazil,2078,191143681.0,3345145993776.459,17500.68836320286,True
BRA,Brazil,2079,189874549.0,3379423951719.126,17798.193436231028,True
BRA,Brazil,2080,188598788.0,3402421415262.202,18040.526407106085,True
BRA,Brazil,2081,187316359.0,3412207797560.4062,18216.282954551803,True
BRA,Brazil,2082,186029711.0,3451142186137.879,18551.564519378728,True
BRA,Brazil,2083,184743965.0,3511577530317.124,19007.80645428458,True
BRA,Brazil,2084,183460424.0,3493042320480.827,19039.75933512956,True
BRA,Brazil,2085,182177768.0,3524544125402.335,19346.73019708055,True
BRA,Brazil,2086,180894223.0,3492349508345.198,19306.03117350629,True
BRA,Brazil,2087,179611128.0,3531040475265.9995,19659.363618416777,True
BRA,Brazil,2088,178330392.0,3542624659608.585,19865.512658148506,True
BRA,Brazil,2089,177054244.0,3569745589749.923,20161.87530500496,True
BRA,Brazil,2090,175780972.0,3595473881559.6016,20454.283763771666,True
BRA,Brazil,2091,174510793.0,3682453481166.741,21101.580124999724,True
BRA,Brazil,2092,173245424.0,3710331147052.506,21416.61846752446,True
BRA,Brazil,2093,171986046.0,3723799220182.787,21651.752027503368,True
BRA,Brazil,2094,170732552.0,3776728190617.4697,22120.72710432788,True
BRA,Brazil,2095,169483293.0,3779184693660.3145,22298.27274869101,True
BRA,Brazil,2096,168241139.0,3777702521031.32,22454.09501793328,True
BRA,Brazil,2097,167006445.0,3871172117611.455,23179.776790120013,True
BRA,Brazil,2098,165782111.0,3941476248352.504,23775.039565954765,True
BRA,Brazil,2099,164569631.0,3970049272701.1353,24123.826787344107,True
BRA,Brazil,2100,163364064.0,3927664477337.3184,24042.401867140856,True
CHN,China,2024,1419321278.0,18117493111934.73,12764.899246395104,True
CHN,China,2025,1416096094.0,18561603315100.867,13107.587397314624,True
CHN,China,2026,1412914089.0,19105830650178.2,13522.2875891205,True
CHN,China,2027,1409679406.0,19418943725106.816,13775.432656853907,True
CHN,China,2028,1406136744.0,19767707659532.062,14058.16876906252,True
CHN,China,2029,1402282752.0,20504581809287.637,14622.28768060012,True
CHN,China,2030,1398153832.0,20750965548181.227,14841.689857902007,True
CHN,China,2031,1393748670.0,21161813050721.234,15183.378112727623,True
CHN,China,2032,1389060032.0,21414642685899.93,15416.643048224953,True
CHN,China,2033,1384096521.0,21911726830028.703,15831.068496724229,True
CHN,China,2034,1378876934.0,22152692492619.66,16065.750282990564,True
CHN,China,2035,1373427531.0,22506118581169.887,16386.82644200605,True
CHN,China,2036,1367742785.0,22933729917722.742,16767.575138568718,True
CHN,China,2037,1361830063.0,23285973531011.49,17099.030314923726,True
CHN,China,2038,1355722707.0,23823290959308.98,17572.392080107707,True
CHN,China,2039,1349394718.0,24192047095832.805,17928.07306352062,True
CHN,China,2040,1342816657.0,24519170871882.82,18259.50753892296,True
CHN,China,2041,1335990231.0,24881066302872.75,18623.688800665157,True
CHN,China,2042,1328909238.0,25641819470071.797,19295.388079822944,True
CHN,China,2043,1321590798.0,26070458684037.22,19726.574007242158,True
CHN,China,2044,1314015987.0,26520844455193.81,20183.0455014044,True
CHN,China,2045,1306113788.0,26629567403854.246,20388.3977403156,True
CHN,China,2046,1297817582.0,27121619794023.07,20897.867443148163,True
CHN,China,2047,1289120427.0,27453313471536.555,21296.158913116466,True
CHN,China,2048,1279992585.0,28055564612532.28,21918.53682693973,True
CHN,China,2049,1270381145.0,28650766056298.6,22552.88987014885,True
CHN,China,2050,1260289093.0,28902672392274.97,22933.3670764974,True
CHN,China,2051,1249692538.0,29084718504981.246,23273.49937731744,True
CHN,China,2052,1238557132.0,29281713277336.61,23641.79456950284,True
CHN,China,2053,1226929854.0,29014805036180.9,23648.299812403864,True
CHN,China,2054,1214853346.0,29609161853843.125,24372.622383873422,True
CHN,China,2055,1202342471.0,30584325013226.043,25437.28243067781,True
CHN,China,2056,1189440669.0,30725717592924.84,25832.07249736711,True
CHN,China,2057,1176217945.0,30801999820532.336,26187.323490063176,True
CHN,China,2058,1162722708.0,30914148625980.637,26587.722432252205,True
CHN,China,2059,1149002167.0,31513906551310.742,27427.19505359361,True
CHN,China,2060,1135127191.0,31908534392280.555,28110.09607141069,True
CHN,China,2061,1121174717.0,32464923114353.062,28956.16768920865,True
CHN,China,2062,1107207133.0,32934174831731.76,29745.269742343466,True
CHN,China,2063,1093276704.0,33494677192130.16,30636.96232580673,True
CHN,China,2064,1079407882.0,34007996605084.27,31506.159230625544,True
CHN,China,2065,1065632529.0,34431924731985.805,32311.25532954316,True
CHN,China,2066,1051989135.0,35091908308500.117,33357.67180570749,True
CHN,China,2067,1038472818.0,36302572462713.39,34957.6530396132,True
CHN,China,2068,1025103452.0,36654466939753.31,35756.84665605176,True
CHN,China,2069,1011878190.0,37087852948673.3,36652.48773537979,True
CHN,China,2070,998784319.0,37518657212310.48,37564.32344660238,True
CHN,China,2071,985806560.0,37725166409448.09,38268.3255926478,True
CHN,China,2072,972905671.0,38285275376026.64,39351.47724719824,True
CHN,China,2073,960055383.0,39002180599793.28,40624.92778064375,True
CHN,China,2074,947249417.0,38978725713071.016,41149.37947021298,True
