ISO3,Country,Region,g_agg_pct_per_yr,g_gdppc_pct_per_yr,g_pop_pct_per_yr
USA,United States,North America,1.79783605733138,1.53663215260682,0.26120390472455
CHN,China,East Asia & Pacific,1.33731055924666,2.39899776036305,-1.06168720111639
IND,India,South Asia,2.6175364366467497,2.56917927099569,0.04835716565105
JPN,Japan,East Asia & Pacific,1.6525155078557199,2.27946905896713,-0.62695355111141
GBR,United Kingdom,Europe & Central Asia,2.01928389119406,1.92444640285079,0.09483748834326
DEU,Germany,Europe & Central Asia,1.75224661647651,1.98395857780514,-0.23171196132862
FRA,France,Europe & Central Asia,2.04891891836835,2.01118624303161,0.03773267533673
AUS,Australia,East Asia & Pacific,2.4377259609376,1.80696537614594,0.63076058479166
CAN,Canada,North America,2.05914051181059,1.66524853077312,0.39389198103746
IDN,Indonesia,East Asia & Pacific,2.4654048833633704,2.41075130864673,0.05465357471664001
RUS,Russian Federation,Europe & Central Asia,1.94206040251754,2.12120477347647,-0.17914437095892
ITA,Italy,Europe & Central Asia,1.44387945231258,2.12450457970908,-0.6806251273964901
SAU,Saudi Arabia,Middle East & North Africa,2.50438017719176,1.53397286658519,0.9704073106065599
PAK,Pakistan,South Asia,3.4454460854127102,2.5114381005378004,0.9340079848748999
ESP,Spain,Europe & Central Asia,1.6492293963436402,2.13471905515675,-0.48548965881309997
KOR,"Korea, Rep.",East Asia & Pacific,1.0052010859357399,2.13895420113827,-1.13375311520253
BRA,Brazil,Latin America & Caribbean,0.8939124619782799,1.23680497755639,-0.34289251557809997
NLD,Netherlands,Europe & Central Asia,1.86248902709943,1.9156063830212198,-0.053117355921780005
MEX,Mexico,Latin America & Caribbean,1.25741789195658,1.26358762975334,-0.006169737796760202
ISR,Israel,Middle East & North Africa,2.7509970098528997,1.77247646221021,0.9785205476426899
NGA,Nigeria,Sub-Saharan Africa,2.33585297559409,1.39200335135323,0.9438496242408599
ARE,United Arab Emirates,Middle East & North Africa,2.49905442262955,1.3636727380637899,1.13538168456575
MYS,Malaysia,East Asia & Pacific,2.5340030913813703,2.25291471010798,0.28108838127338
PHL,Philippines,East Asia & Pacific,2.39997665277527,2.41852728870705,-0.01855063593178
CHE,Switzerland,Europe & Central Asia,1.5700302077814299,1.54026201060115,0.029768197180280002
SWE,Sweden,Europe & Central Asia,1.96416616382564,1.87312510445071,0.09104105937492
BEL,Belgium,Europe & Central Asia,1.97894774867025,2.05721719173603,-0.07826944306577001
BGD,Bangladesh,South Asia,2.59860250276343,2.35667505655524,0.24192744620818
IRQ,Iraq,Middle East & North Africa,3.16385767555419,2.1347979073707597,1.0290597681834202
VNM,Viet Nam,East Asia & Pacific,2.26601855249194,2.3928876413401,-0.12686908884816
KAZ,Kazakhstan,Europe & Central Asia,2.78392964100392,2.1369011842205703,0.64702845678335
POL,Poland,Europe & Central Asia,1.33903642084502,2.24696532466172,-0.9079289038166899
IRN,"Iran, Islamic Rep.",Middle East & North Africa,1.6194939799676198,1.79644975947101,-0.17695577950338
THA,Thailand,East Asia & Pacific,1.7410938966786498,2.33730795379928,-0.5962140571206299
IRL,Ireland,Europe & Central Asia,1.57253583004854,1.56477099049319,0.007764839555348425
AUT,Austria,Europe & Central Asia,1.71234116012874,1.98756452798949,-0.27522336786074003
DNK,Denmark,Europe & Central Asia,1.85149048258874,1.87687132450617,-0.025380841917429998
NOR,Norway,Europe & Central Asia,1.5667496673627002,1.6057922989191902,-0.03904263155649
ARG,Argentina,Latin America & Caribbean,1.1452741895521101,1.37910852759006,-0.23383433803795
QAT,Qatar,Middle East & North Africa,2.60592716094644,1.46192432929784,1.14400283164859
ZAF,South Africa,Sub-Saharan Africa,1.6020661548716002,1.09201481655167,0.51005133831993
UZB,Uzbekistan,Europe & Central Asia,2.88181929771016,1.94068331805149,0.94113597965867
NZL,New Zealand,East Asia & Pacific,2.1614212118213403,2.01847570887792,0.14294550294341998
DZA,Algeria,Middle East & North Africa,2.13742649050802,1.7160015660843801,0.42142492442364
PRT,Portugal,Europe & Central Asia,1.8885948725447101,2.11849687669305,-0.22990200414834003
AGO,Angola,Sub-Saharan Africa,2.98641827343031,1.17541641874619,1.81100185468412
FIN,Finland,Europe & Central Asia,1.7856818133985102,2.04826947732126,-0.26258766392275
ETH,Ethiopia,Sub-Saharan Africa,2.8142734203124498,1.46835759611544,1.3459158241970102
CZE,Czechia,Europe & Central Asia,1.81405148867976,2.16410048638958,-0.35004899770982
COL,Colombia,Latin America & Caribbean,1.1620465432815001,1.31504786879917,-0.15300132551766
SGP,Singapore,East Asia & Pacific,0.9458340335589001,1.3895017964327598,-0.44366776287386
ROU,Romania,Europe & Central Asia,1.61162722311773,2.3598335599665803,-0.74820633684885
OMN,Oman,Middle East & North Africa,2.65929966124951,1.5690700952417698,1.09022956600774
GRC,Greece,Europe & Central Asia,1.48477194822441,2.10410084822262,-0.6193288999982
PER,Peru,Latin America & Caribbean,1.40698700721129,1.26339827115498,0.14358873605630001
HUN,Hungary,Europe & Central Asia,1.83113782115702,2.17325300219043,-0.34211518103341
KWT,Kuwait,Middle East & North Africa,2.1364186288887197,1.26047113030332,0.87594749858539
TZA,Tanzania,Sub-Saharan Africa,2.82617648367453,1.05800038747184,1.76817609620269
CIV,Cote d'Ivoire,Sub-Saharan Africa,2.78848875935784,1.23437815368035,1.55411060567748
CHL,Chile,Latin America & Caribbean,0.89352956642498,1.40190355800424,-0.50837399157926
MAR,Morocco,Middle East & North Africa,1.88691345664822,1.8937310711849402,-0.00681761453671487
LKA,Sri Lanka,South Asia,2.36603429815792,2.47611060419216,-0.11007630603424
HKG,"Hong Kong SAR, China",East Asia & Pacific,0.52933766684693,2.2016862396365,-1.6723485727895602
KEN,Kenya,Sub-Saharan Africa,2.06304612155559,1.25618317319377,0.8068629483618099
TKM,Turkmenistan,Europe & Central Asia,2.60003039638338,2.22758114397252,0.37244925241086
MMR,Myanmar,East Asia & Pacific,2.44260955067535,2.56501100416875,-0.12240145349338999
UGA,Uganda,Sub-Saharan Africa,2.84961503731129,1.68895350087226,1.16066153643903
GHA,Ghana,Sub-Saharan Africa,2.19196938106608,1.30515157795968,0.8868178031063999
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,2.47332870984039,0.66865173055599,1.80467697928439
SVK,Slovak Republic,Europe & Central Asia,1.61388046067623,2.23786487993828,-0.6239844192620401
CMR,Cameroon,Sub-Saharan Africa,2.71904233454392,1.25103596242478,1.46800637211914
AFG,Afghanistan,South Asia,3.9539476682835,2.4852215929273402,1.4687260753561602
GTM,Guatemala,Latin America & Caribbean,1.80106654675775,1.35104879542434,0.45001775133341004
ECU,Ecuador,Latin America & Caribbean,1.3527123690254101,1.28507079409714,0.06764157492827
DOM,Dominican Republic,Latin America & Caribbean,1.4224066753250801,1.39422986536869,0.02817680995639
KHM,Cambodia,East Asia & Pacific,2.72040159301747,2.38622502796818,0.33417656504928
JOR,Jordan,Middle East & North Africa,2.42721774125426,1.62083823914017,0.80637950211409
PNG,Papua New Guinea,East Asia & Pacific,3.0428770716003704,2.2972138025241997,0.74566326907617
LBY,Libya,Middle East & North Africa,2.04532325890106,1.67454431574617,0.37077894315488996
PAN,Panama,Latin America & Caribbean,1.6479114289723902,1.29494549182807,0.35296593714432
AZE,Azerbaijan,Europe & Central Asia,1.9908250627582997,2.03158025522983,-0.04075519247152
LUX,Luxembourg,Europe & Central Asia,1.7019321485707999,1.5629969000715602,0.13893524849924
