ISO3,Country,g_pop_pct_per_yr,GDPpc_2100_eps0.92,GDPpc_2100_eps1.22,difference_pct,in_panel_a
USA,United States,0.26120390472455,209217.1007512528,209863.9297748661,0.30916642152609697,True
CHN,China,-1.06168720111639,81769.99801034348,63260.91725524993,-22.635540180338822,True
IND,India,0.04835716565105,15657.161632319656,14714.227673038577,-6.022381204359972,True
JPN,Japan,-0.62695355111141,203087.4164046449,180389.3808294708,-11.17648546473653,True
GBR,United Kingdom,0.09483748834326,208015.5347021801,203970.01742951263,-1.9448149766600364,True
DEU,Germany,-0.23171196132862,189236.8049069265,175751.05404941298,-7.126389004584121,True
FRA,France,0.03773267533673,186629.99165750568,182896.572563452,-2.000438976016816,True
AUS,Australia,0.63076058479166,257669.5732443232,260888.87342876656,1.2493908938913778,False
CAN,Canada,0.39389198103746,168885.45523105335,170090.39407564918,0.7134651370346523,True
IDN,Indonesia,0.05465357471664001,25831.42487393357,24702.74964379338,-4.369388199251578,True
RUS,Russian Federation,-0.17914437095892,52663.61285103602,49201.14018362127,-6.574696417446113,True
SAU,Saudi Arabia,0.9704073106065599,92228.44359110708,94729.06551511472,2.711334840577062,False
PAK,Pakistan,0.9340079848748999,11769.53414893858,12272.522533793668,4.2736473550267995,False
ITA,Italy,-0.6806251273964901,158502.38730746525,133887.02578306355,-15.529962634980665,True
ESP,Spain,-0.48548965881309997,134829.36909541243,115659.77499440988,-14.217669510444075,True
KOR,"Korea, Rep.",-1.13375311520253,203372.6710684852,161498.63687605353,-20.58980391634365,True
BRA,Brazil,-0.34289251557809997,23312.903812377783,19860.510001255472,-14.80893945647943,True
NLD,Netherlands,-0.053117355921780005,212522.14700086237,202058.7433862232,-4.923441515296146,False
ISR,Israel,0.9785205476426899,181422.21755293856,186516.2519499079,2.807833828556805,False
MEX,Mexico,-0.006169737796760202,26210.20925843824,23895.36389705429,-8.831846165587931,False
NGA,Nigeria,0.9438496242408599,7117.952892063356,7522.957903899697,5.689908573122615,True
ARE,United Arab Emirates,1.13538168456575,128905.06722130494,132675.33955630218,2.924844163437279,False
MYS,Malaysia,0.28108838127338,64278.32783473055,61624.36306760323,-4.128864045671921,False
CHE,Switzerland,0.029768197180280002,286263.08621325233,273074.67265104776,-4.607095429824238,False
PHL,Philippines,-0.01855063593178,22837.465821737864,21571.92348857361,-5.541518236054211,False
SWE,Sweden,0.09104105937492,225797.59888466707,222098.9824440772,-1.6380229279935987,False
