ISO3,g_pop_pct,outlay_2024_pct,oadr_2024,oadr_2100,pressure_2050_pct,pressure_2100_pct,benefit_shortfall_2050_pct,benefit_shortfall_2100_pct,debt_wedge_pp_per_100pct_debt,doubling_delay_years
UKR,-1.2010216119313009,10.0,0.2839886338750189,0.4728597227990831,15.133505008095176,16.65065662477129,-5.978266744157413,-22.59127508818656,0.3369351141928432,4.0
KOR,-1.1337531152025313,10.0,0.2792504795882848,0.7035035341443424,23.750973293510324,25.19256314909677,-0.7810852778759148,0.792992233398504,-0.010392954918925,0.0
CHN,-1.0616872011163907,10.0,0.1974850924964956,0.5830385191531298,22.302045878073333,29.523166117638777,-1.3282236693576643,-3.691596114170348,0.0494928989815747,1.0
POL,-0.9079289038166982,10.0,0.3246515823549104,0.6457787349989338,17.351162882140603,19.891439626281137,-9.201823697340728,-16.716321719663775,0.2406810460860791,6.0
ITA,-0.680625127396496,10.0,0.4102392616698188,0.6369292646917174,16.140221301727216,15.525799800321163,-7.910224279924138,-13.483492715058564,0.1905723086750055,4.0
JPN,-0.6269535511114123,10.0,0.4969709933635027,0.6933404106544222,14.32932136235646,13.951325528314843,-4.927680877746743,-8.438934175119162,0.1160053292702471,3.0
GRC,-0.6193288999982038,10.0,0.3516720629940078,0.6646890948558538,19.23792985263352,18.90082166882786,-8.276427755010252,-13.467632717590138,0.1903311234279794,3.0
THA,-0.5962140571206362,10.0,0.2207217302577943,0.6176943459962648,22.642341993162816,27.985207676417826,-3.90642032507591,-7.075576946611417,0.0965574717869711,2.0
ESP,-0.4854896588131024,10.0,0.3440208009043174,0.6652276508330841,20.68966452553877,19.33684385026777,-7.299263758736596,-13.36098030799625,0.1887103922196492,4.0
BRA,-0.3428925155781055,10.0,0.1583259426910879,0.632455924638547,23.16409145077403,39.94644932400884,-0.6659049972447817,-7.060934143012321,0.0963501492300371,5.0
DEU,-0.2317119613286237,10.0,0.3744510093567971,0.6181947645230292,14.525363460968723,16.509363016137048,-5.340573883455246,-8.159740272793048,0.1119992439219588,3.0
PRT,-0.2299020041483439,10.0,0.3818860484779059,0.6893595072541413,17.667895767607977,18.05144518899659,-6.026410260174552,-8.524661292033532,0.1172378583573545,3.0
RUS,-0.1791443709589218,10.0,0.2669614271928521,0.4068000627513669,13.685995759875322,15.238158824252007,-3.768755209567509,-5.109749878087055,0.0690121369625599,1.0
FRA,0.0377326753367356,10.0,0.3614619225015806,0.5662551032420373,13.04926996939206,15.665691681246487,-0.994710910192298,-2.6528205378797742,0.0353768786280996,0.0
IND,0.0483571656510524,10.0,0.1080623270808164,0.4372149291046238,18.341564692618952,40.45951451495623,2.1726901825548817,-4.737807752210765,0.0638647073308594,-1.0
IDN,0.0546535747166417,10.0,0.0983555982106281,0.3883034207385287,21.07465039593997,39.47954440854284,0.7793476387779386,-3.7827294530864974,0.0507385748879908,0.0
GBR,0.0948374883432644,10.0,0.3189406112810818,0.5555368263028571,13.680293491857554,17.41819030419,0.4528745658063604,-1.230614151740328,0.0162927487975993,0.0
USA,0.261203904724559,10.0,0.2883487511301135,0.4971785677892308,12.635062219935758,17.242265341558067,0.5964269721431714,0.9209629808541342,-0.0120624733699743,0.0
CAN,0.3938919810374672,10.0,0.3192167760887783,0.5561834571839813,13.736524325147876,17.423378056712767,1.8055299194920105,3.631052677682845,-0.0469300463110777,-1.0
NGA,0.9438496242408608,10.0,0.0512402775394268,0.1726175317033984,13.062503766667078,33.68786040836292,10.72699362704883,17.471847029089858,-0.2118796304409066,-8.0
