ISO3,Region,block_end_year,delta10_ln_WApop,delta10_ln_GDP,contraction_regime
ABW,Latin America & Caribbean,2000,0.3255596085542898,0.4936821383022938,0
ABW,Latin America & Caribbean,2010,0.11297626987253473,0.017016617194855144,0
ABW,Latin America & Caribbean,2020,0.051403958962469076,-0.04804966428073243,0
AFG,South Asia,2010,0.38080443560248156,0.9058111224739918,0
AFG,South Asia,2020,0.4395938605544316,0.29494046781531935,0
AGO,Sub-Saharan Africa,1990,0.33455749863357553,0.18220850538329714,0
AGO,Sub-Saharan Africa,2000,0.34585714115181254,0.12331223314615158,0
AGO,Sub-Saharan Africa,2010,0.3590513882199957,0.8520254160337188,0
AGO,Sub-Saharan Africa,2020,0.37707150071599216,0.14977970124621365,0
ALB,Europe & Central Asia,1990,0.2576482488754639,0.12676523111708704,0
ALB,Europe & Central Asia,2000,-0.048149179884958926,0.10660911442779408,1
ALB,Europe & Central Asia,2010,0.006187227090107328,0.5275520408331893,0
ALB,Europe & Central Asia,2020,-0.00011323861684076064,0.1886677486413646,1
ARE,Middle East & North Africa,1980,0.5787179184567375,1.226875268444682,0
ARE,Middle East & North Africa,1990,0.5787179184567375,0.05946452008939218,0
ARE,Middle East & North Africa,2000,0.5787179184567375,0.4550688020070197,0
ARE,Middle East & North Africa,2010,0.5787179184567375,0.3796985994796458,0
ARE,Middle East & North Africa,2020,0.07763612978981982,0.25404736787248083,0
ARG,Latin America & Caribbean,1970,0.1582660944950618,0.38101923865408693,0
ARG,Latin America & Caribbean,1980,0.12606690341750948,0.26545088371451087,0
ARG,Latin America & Caribbean,1990,0.13383755366333006,-0.07960116060448286,0
ARG,Latin America & Caribbean,2000,0.1562815927301422,0.3977111435804197,0
ARG,Latin America & Caribbean,2010,0.12128815936197768,0.3343643623685999,0
ARG,Latin America & Caribbean,2020,0.11225831996245361,-0.07096152438793268,0
ARM,Europe & Central Asia,2000,-0.10618182140051519,-0.38859387198248285,1
ARM,Europe & Central Asia,2010,0.007680017900865366,0.7655554115010652,0
ARM,Europe & Central Asia,2020,-0.07302289104350201,0.3383266896698771,1
ATG,Latin America & Caribbean,1990,-0.0037144312584871386,0.563955333593622,1
ATG,Latin America & Caribbean,2000,0.21205882365841155,0.3646087380414258,0
ATG,Latin America & Caribbean,2010,0.17591160951793405,0.14095625576806015,0
ATG,Latin America & Caribbean,2020,0.11456549791258475,-0.002539972667854329,0
AUS,East Asia & Pacific,1970,0.2190876590406745,0.49496725151425025,0
AUS,East Asia & Pacific,1980,0.1995581885570452,0.2963147440269758,0
AUS,East Asia & Pacific,1990,0.1762960358627801,0.3325700674201997,0
AUS,East Asia & Pacific,2000,0.108020174556124,0.3268497138923756,0
AUS,East Asia & Pacific,2010,0.1576663449980309,0.3030294320963911,0
AUS,East Asia & Pacific,2020,0.10564362033659691,0.2342797757017543,0
AUT,Europe & Central Asia,1970,-0.007851054302781435,0.4722005311981192,1
AUT,Europe & Central Asia,1980,0.05613517067209628,0.3544371224473899,0
AUT,Europe & Central Asia,1990,0.07525001254472308,0.22229259965308046,0
AUT,Europe & Central Asia,2000,0.037172422987326925,0.2556838086945241,0
AUT,Europe & Central Asia,2010,0.038573274735156815,0.15249955208950183,0
AUT,Europe & Central Asia,2020,0.04158309498880719,0.07317606437619872,0
AZE,Europe & Central Asia,2000,0.12839023088649348,-0.529578870836179,0
AZE,Europe & Central Asia,2010,0.24099781352999727,1.226875268444682,0
AZE,Europe & Central Asia,2020,0.08814634739840344,0.06766971402749178,0
BDI,Sub-Saharan Africa,1970,0.20831425104877965,0.42933141566485133,0
BDI,Sub-Saharan Africa,1980,0.2244980679320694,0.22913121031336203,0
BDI,Sub-Saharan Africa,1990,0.18070974849700505,0.43606339722979826,0
BDI,Sub-Saharan Africa,2000,0.10265627121458287,-0.19894756530491264,0
BDI,Sub-Saharan Africa,2010,0.4805916838998616,0.3290691066282818,0
BDI,Sub-Saharan Africa,2020,0.27288098770902636,0.33615522410205756,0
BEL,Europe & Central Asia,1970,0.028156326045392532,0.48012079133466656,0
BEL,Europe & Central Asia,1980,0.058385093797701515,0.3332097458369354,0
BEL,Europe & Central Asia,1990,0.03610608779991864,0.1990106906532496,0
BEL,Europe & Central Asia,2000,0.005243220348846833,0.2201157386943784,0
