Economy,GDP 2024 (T),GDP 2050 (T),GDP 2100 (T),GDP 2100 95% CrI (T),GDPpc 2024 (k),GDPpc 2100 (k),Agg rank 2024→2100,Per-capita rank 2024→2100,GDP growth (%/yr),GDPpc growth (%/yr),Population growth (%/yr)
United States,22.40744112493816,37.14048253763306,87.86033929830715,25.0–317,64.86889835969843,208.55623576786243,1→1,6→17,1.79783605733138,1.53663215260682,0.26120390472455
China,18.11749311193473,28.90267239227497,50.06058474609309,8.6–210,12.764899246395103,79.03868811610523,2→2,61→47,1.33731055924666,2.39899776036305,-1.06168720111639
India,3.3570713736777056,7.643553435817412,24.542263465139495,5.4–100,2.3137284189288465,16.30442435013999,6→3,127→111,2.6175364366467497,2.56917927099569,0.04835716565105
Japan,4.722979230328149,7.1116563957440295,16.58256064062099,4.5–62,38.164550884274014,215.78954030536306,3→4,25→14,1.6525155078557199,2.27946905896713,-0.62695355111141
United Kingdom,3.358320134230572,5.920770276989969,15.58169216975153,4.6–52,48.57402308452861,209.69794743146676,5→5,14→16,2.01928389119406,1.92444640285079,0.09483748834326
Germany,3.78055473766955,5.775491715196949,14.318869077562812,3.8–46,44.71264922424588,201.9590514238767,4→6,21→18,1.75224661647651,1.98395857780514,-0.23171196132862
France,2.7507089539772736,4.6386916258794,13.053248863730015,3.5–41,41.333880011733896,190.6013449591077,7→7,23→21,2.04891891836835,2.01118624303161,0.03773267533673
Australia,1.6917281502274257,3.300461296544038,10.787869526363005,3.4–33,63.32928415843123,250.04515785712334,12→8,7→8,2.4377259609376,1.80696537614594,0.63076058479166
Canada,1.842174660226064,3.154332730666081,8.810053770549713,1.9–29,46.35284405674398,164.32916730441997,11→9,16→27,2.05914051181059,1.66524853077312,0.39389198103746
Indonesia,1.2099955279367085,2.546058414455575,7.879972192853881,1.9–29,4.268243532161898,26.665574432944428,16→10,106→84,2.4654048833633704,2.41075130864673,0.05465357471664001
Russian Federation,1.5802933788498423,2.5263273729171236,6.914194127325986,1.8–24,10.91208923516155,54.7067393014673,13→11,67→59,1.94206040251754,2.12120477347647,-0.17914437095892
Italy,2.0658192383018226,2.9292587434882598,6.189629665663722,1.6–21,34.81158465602652,174.96285677177502,8→12,28→24,1.44387945231258,2.12450457970908,-0.6806251273964901
