Economy,Population growth (%/yr),Old-age dependency 2024,Old-age dependency 2100,"Outlay 2100, ε-invariant (% GDP)","Benefit per retiree 2050, ε=1.22 vs 0.92 (%)","Benefit per retiree 2100, ε=1.22 vs 0.92 (%)",Extra primary surplus per 100% GDP debt (pp),Delay in doubling GDP per capita (yr)
UKR,-1.2010216119313009,0.2839886338750189,0.4728597227990831,16.65065662477129,-7.648961239748742,-25.857957385081733,0.3936676813997626,5.0
KOR,-1.1337531152025313,0.2792504795882848,0.7035035341443424,25.19256314909677,-9.662709503321151,-20.589803916343676,0.3033465945099336,7.0
CHN,-1.0616872011163907,0.1974850924964956,0.5830385191531298,29.523166117638777,-7.356056277710032,-22.6355401803388,0.3376877451346264,5.0
POL,-0.9079289038166982,0.3246515823549104,0.6457787349989338,19.891439626281137,-8.491804473963482,-21.276693802401137,0.3147775456114188,7.0
ITA,-0.680625127396496,0.4102392616698188,0.6369292646917174,15.525799800321163,-8.39176158843844,-15.529962634980675,0.2220701340817893,5.0
JPN,-0.6269535511114123,0.4969709933635027,0.6933404106544222,13.951325528314843,-7.701701170335262,-11.176485464736553,0.155945746998869,4.0
GRC,-0.6193288999982038,0.3516720629940078,0.6646890948558538,18.90082166882786,-9.563996414631326,-16.32916253040535,0.2345785349114469,6.0
THA,-0.5962140571206362,0.2207217302577943,0.6176943459962648,27.985207676417826,-7.067266546614103,-17.259269065189585,0.2492870932594881,4.0
ESP,-0.4854896588131024,0.3440208009043174,0.6652276508330841,19.33684385026777,-8.521734187161567,-14.217669510444054,0.2017857092796743,4.0
BRA,-0.3428925155781055,0.1583259426910879,0.632455924638547,39.94644932400884,-2.486208700034953,-14.80893945647944,0.2108864221786322,12.0
DEU,-0.2317119613286237,0.3744510093567971,0.6181947645230292,16.509363016137048,-5.114646101231946,-7.126389004584121,0.097277156180035,4.0
PRT,-0.2299020041483439,0.3818860484779059,0.6893595072541413,18.05144518899659,-7.157320365481823,-9.373067934490145,0.1294983601275647,4.0
RUS,-0.1791443709589218,0.2669614271928521,0.4068000627513669,15.238158824252007,-3.5919953143473293,-6.574696417446102,0.0894841593987571,2.0
FRA,0.0377326753367356,0.3614619225015806,0.5662551032420373,15.665691681246487,-1.2620825867196706,-2.0004389760168384,0.0265884035192929,1.0
IND,0.0483571656510524,0.1080623270808164,0.4372149291046238,40.45951451495623,0.864916118269643,-6.022381204360006,0.0817283289297639,-1.0
IDN,0.0546535747166417,0.0983555982106281,0.3883034207385287,39.47954440854284,0.5772422288910395,-4.369388199251556,0.0587858027174936,0.0
GBR,0.0948374883432644,0.3189406112810818,0.5555368263028571,17.41819030419,0.1117622076558966,-1.9448149766600584,0.0258417806878921,0.0
USA,0.261203904724559,0.2883487511301135,0.4971785677892308,17.242265341558067,0.2392197358176861,0.3091664215260969,-0.0040617037488269,0.0
CAN,0.3938919810374672,0.3192167760887783,0.5561834571839813,17.423378056712767,0.3793482564689698,0.7134651370346523,-0.00935436863175,0.0
NGA,0.9438496242408608,0.0512402775394268,0.1726175317033984,33.68786040836292,3.297771515678982,5.689908573122615,-0.0728147762963461,-1.0
