Economy,Population growth (%/yr),P(per-capita output rises),P(aggregate output falls),P(benign divergence),P(concordant expansion),P(concordant contraction)
"Hong Kong SAR, China",-1.6723485727895602,0.966,0.269,0.235,0.731,0.034
Puerto Rico,-1.55347097864813,0.846,0.565,0.411,0.435,0.154
Jamaica,-1.2879925999196,0.869,0.421,0.29,0.579,0.131
Ukraine,-1.2010216119313,0.995,0.128,0.123,0.872,0.005
"Korea, Rep.",-1.13375311520253,0.969,0.163,0.132,0.837,0.031
Lithuania,-1.1328758806588801,0.989,0.087,0.076,0.913,0.011
Albania,-1.12754443337493,0.978,0.117,0.095,0.883,0.022
Bosnia and Herzegovina,-1.10485897745932,0.995,0.067,0.062,0.933,0.005
China,-1.06168720111639,0.98,0.108,0.088,0.892,0.02
Mauritius,-1.02856562156985,0.875,0.366,0.241,0.634,0.125
"Macao SAR, China",-1.02235425687068,0.968,0.142,0.11,0.858,0.032
North Macedonia,-0.98399012730515,0.988,0.094,0.082,0.906,0.012
Belarus,-0.96461500467808,0.989,0.092,0.081,0.908,0.011
Moldova,-0.93809625725782,0.986,0.103,0.089,0.897,0.014
Latvia,-0.9269723766114599,0.988,0.07,0.058,0.93,0.012
Poland,-0.9079289038166899,0.99,0.074,0.064,0.926,0.01
Cuba,-0.8912554101729,0.891,0.322,0.213,0.678,0.109
Montenegro,-0.88440183259031,0.981,0.094,0.075,0.906,0.019
Bulgaria,-0.85400497047406,0.995,0.054,0.049,0.946,0.005
Croatia,-0.7804624964414,0.985,0.071,0.056,0.929,0.015
